symbol,day,status,bytes
FETUSDT,2024-03-15,200,91741818
FETUSDT,2024-03-29,200,52060857
FETUSDT,2024-03-31,404,
OPUSDT,2024-03-15,200,66088612
OPUSDT,2024-03-29,200,37081973
OPUSDT,2024-03-31,404,
WIFUSDT,2024-03-15,200,134388812
WIFUSDT,2024-03-29,200,94949222
WIFUSDT,2024-03-31,404,
GRTUSDT,2024-03-15,200,51484366
GRTUSDT,2024-03-29,200,23352832
GRTUSDT,2024-03-31,404,
CHZUSDT,2024-03-15,200,60015033
CHZUSDT,2024-03-29,200,25676373
CHZUSDT,2024-03-31,404,
APEUSDT,2024-03-15,200,43444316
APEUSDT,2024-03-29,200,17737833
APEUSDT,2024-03-31,404,
WOOUSDT,2024-03-15,200,54330337
WOOUSDT,2024-03-29,200,11057531
WOOUSDT,2024-03-31,404,
BLURUSDT,2024-03-15,200,36901963
BLURUSDT,2024-03-29,200,14092371
BLURUSDT,2024-03-31,404,
IMXUSDT,2024-03-15,200,28936708
IMXUSDT,2024-03-29,200,16935033
IMXUSDT,2024-03-31,404,
ARKMUSDT,2024-03-15,200,46561651
ARKMUSDT,2024-03-29,200,13846460
ARKMUSDT,2024-03-31,404,
GMTUSDT,2024-03-15,200,44394680
GMTUSDT,2024-03-29,200,36392291
GMTUSDT,2024-03-31,404,
SANDUSDT,2024-03-15,200,56037047
SANDUSDT,2024-03-29,200,22274212
SANDUSDT,2024-03-31,404,
MASKUSDT,2024-03-15,200,40671247
MASKUSDT,2024-03-29,200,41713221
MASKUSDT,2024-03-31,404,
API3USDT,2024-03-15,200,31819839
API3USDT,2024-03-29,200,11070251
API3USDT,2024-03-31,404,
C98USDT,2024-03-15,200,19233025
C98USDT,2024-03-29,200,9166470
C98USDT,2024-03-31,404,
IDUSDT,2024-03-15,200,51558340
IDUSDT,2024-03-29,200,20555233
IDUSDT,2024-03-31,404,
FLOWUSDT,2024-03-15,200,26907922
FLOWUSDT,2024-03-29,200,18069696
FLOWUSDT,2024-03-31,404,
ONEUSDT,2024-03-15,200,20525284
ONEUSDT,2024-03-29,200,9000605
ONEUSDT,2024-03-31,404,
