symbol,lat_ms,profile,quote_attempts,cycles,mean_net_bp,total_net_bp,mean_gross_bp,mm_exit_rate,win_net,ci95_low,roundtrip_volume_usd
WOOUSDT,10,protective,0,0,,0.0,,,,,0.0
WOOUSDT,10,neutral,0,0,,0.0,,,,,0.0
WOOUSDT,10,strict,0,0,,0.0,,,,,0.0
WOOUSDT,240,protective,0,0,,0.0,,,,,0.0
WOOUSDT,240,neutral,0,0,,0.0,,,,,0.0
WOOUSDT,240,strict,0,0,,0.0,,,,,0.0
CHZUSDT,10,protective,3,0,,0.0,,,,,0.0
CHZUSDT,10,neutral,0,0,,0.0,,,,,0.0
CHZUSDT,10,strict,3,0,,0.0,,,,,0.0
CHZUSDT,240,protective,3,0,,0.0,,,,,0.0
CHZUSDT,240,neutral,0,0,,0.0,,,,,0.0
CHZUSDT,240,strict,3,0,,0.0,,,,,0.0
GALAUSDT,10,protective,66,4,-36.220717446629074,-144.8828697865163,-29.220717446629074,0.0,0.0,-67.12628486578373,800.0
GALAUSDT,10,neutral,16,2,-12.420063142632136,-24.840126285264272,-6.920063142632136,0.5,0.5,-42.32051608879286,400.0
GALAUSDT,10,strict,21,2,-34.52961194991858,-69.05922389983716,-27.529611949918582,0.0,0.0,-75.12705150809276,400.0
GALAUSDT,240,protective,77,2,-20.7460144309658,-41.4920288619316,-13.7460144309658,0.0,0.0,-34.327602851992545,400.0
GALAUSDT,240,neutral,16,1,-27.675396278428426,-27.675396278428426,-20.675396278428426,0.0,0.0,,200.0
GALAUSDT,240,strict,18,2,-31.083712570180012,-62.167425140360024,-24.083712570180015,0.0,0.0,-64.92718934406662,400.0
