symbol,capture,lat_ms,profile,side,signal_ts,fill_ts,entry_px,spread_bp,flow_prev,flow_now,value1_bp,value5_bp,value15_bp
GALAUSDT,maker_live_v6_output,10,halt,sell,1787022608000,1787022610381,0.001457,6.865774116031005,0.7896583688955169,-0.7193732150099302,-5.431708991078013,8.295126973232549,49.475634866848836
GALAUSDT,maker_live_v6_output,10,halt,sell,1787022621500,1787022621807,0.001455,6.8752148504634985,0.957451586790031,0.0,-5.436426116838945,42.67353951890031,42.67353951890031
GALAUSDT,maker_live_v6_output,10,halt,sell,1787022632500,1787022635430,0.001448,6.908462867013006,0.9149440679692323,0.0,1.453038674033607,-26.171270718232254,8.359116022791177
GALAUSDT,maker_live_v6_output,10,halt,buy,1787022642500,1787022643893,0.00145,6.894174422613808,-0.9999999999999994,0.9449351455916896,-29.5862068965509,-19.241379310344126,-5.448275862757331
GALAUSDT,maker_live_v6_output,10,halt,buy,1787022650000,1787022652775,0.001447,6.908462867013006,-0.9388619077983008,0.9999999999999994,1.4554250172775842,15.277125085695587,29.09882515549526
GALAUSDT,maker_live_v6_output,10,halt,sell,1787022658500,1787022660579,0.00145,6.89893066574623,0.8422089579507149,0.0,1.4482758627573311,-12.34482758620827,-46.82758620689653
GALAUSDT,maker_live_v6_output,10,halt,buy,1787022665750,1787022667801,0.001451,6.889424733034212,-0.8202085868865167,0.0,1.4458993797385693,29.013094417642638,42.796691936595415
GALAUSDT,maker_live_v6_output,10,halt,sell,1787022682750,1787022683250,0.001458,6.86106346483796,0.8845487413348617,0.0,-19.146776406034967,-12.28806584293417,-32.864197530863834
GALAUSDT,maker_live_v6_output,10,halt,sell,1787022693750,1787022696220,0.001462,6.842285323297405,0.7745162986860379,-0.9999999999998735,-5.419972640219333,-12.259917920656513,-12.259917920656513
GALAUSDT,maker_live_v6_output,10,halt,sell,1787022707250,1787022710077,0.001464,6.832934745472606,0.9228020663667983,-0.9999999999999098,1.4153005464485404,8.245901639344142,-5.41530054644854
GALAUSDT,maker_live_v6_output,10,halt,sell,1787022720250,1787022720551,0.001464,6.832934745472606,0.8252379085841988,-0.9999999999999243,-5.41530054644854,-5.41530054644854,-32.73770491803242
GALAUSDT,maker_live_v6_output,10,halt,sell,1787022730750,1787022732797,0.001466,6.823609689526665,0.7309076843385148,0.0,-12.231923601636986,-25.87448840313677,-5.410641200544676
GALAUSDT,maker_live_v6_output,10,halt,buy,1787022742000,1787022742243,0.001469,6.8050357264369925,-0.8943872007733725,0.9999999999999992,-5.403675970048104,-19.01837985023904,-12.211027910142832
GALAUSDT,maker_live_v6_output,10,halt,buy,1787022749250,1787022751102,0.001467,6.814310051106752,-0.9999999999999956,0.9999999999999961,1.4083162917523269,1.4083162917523269,1.4083162917523269
GALAUSDT,maker_live_v6_output,10,halt,sell,1787022761000,1787022763746,0.001469,6.809669731018949,0.9844312569296,-0.9999999999999588,1.4036759700481034,8.211027910142832,1.4036759700481034
GALAUSDT,maker_live_v6_output,10,halt,buy,1787022779750,1787022781552,0.001468,6.809669731018949,-0.9999999999999936,0.0,-12.217983651226039,-5.405994550407694,-5.405994550407694
GALAUSDT,maker_live_v6_output,10,refill,sell,1787022608000,1787022610381,0.001457,6.865774116031005,0.7896583688955169,-0.7193732150099302,-5.431708991078013,8.295126973232549,49.475634866848836
GALAUSDT,maker_live_v6_output,10,refill,sell,1787022620750,1787022621807,0.001455,6.8752148504634985,0.848466427872133,0.0,-5.436426116838945,42.67353951890031,42.67353951890031
GALAUSDT,maker_live_v6_output,10,refill,sell,1787022632500,1787022635430,0.001448,6.908462867013006,0.9149440679692323,0.0,1.453038674033607,-26.171270718232254,8.359116022791177
GALAUSDT,maker_live_v6_output,10,refill,buy,1787022642500,1787022643893,0.00145,6.894174422613808,-0.9999999999999994,0.9449351455916896,-29.5862068965509,-19.241379310344126,-5.448275862757331
GALAUSDT,maker_live_v6_output,10,refill,sell,1787022651250,1787022653083,0.001446,6.918021445865899,0.7025443084370172,0.0,-26.204702627248047,-26.204702627248047,-40.03596127247634
GALAUSDT,maker_live_v6_output,10,refill,sell,1787022682750,1787022683250,0.001458,6.86106346483796,0.8845487413348617,0.0,-19.146776406034967,-12.28806584293417,-32.864197530863834
GALAUSDT,maker_live_v6_output,10,refill,sell,1787022693750,1787022696220,0.001462,6.842285323297405,0.7745162986860379,-0.9999999999998735,-5.419972640219333,-12.259917920656513,-12.259917920656513
GALAUSDT,maker_live_v6_output,10,refill,sell,1787022753000,1787022755496,0.001468,6.814310051106752,0.9410890616387073,0.0,1.4059945504076947,-5.405994550409172,1.4059945504076947
GALAUSDT,maker_live_v6_output,10,refill,sell,1787022761000,1787022763746,0.001469,6.809669731018949,0.9844312569296,-0.9999999999999588,1.4036759700481034,8.211027910142832,1.4036759700481034
GALAUSDT,maker_live_v6_output,10,flip,sell,1787022608000,1787022610381,0.001457,6.865774116031005,0.7896583688955169,-0.7193732150099302,-5.431708991078013,8.295126973232549,49.475634866848836
GALAUSDT,maker_live_v6_output,10,flip,sell,1787022617750,1787022618532,0.001456,6.870491240124581,0.7608945674779934,-0.9999999999999931,8.30219780219768,15.17032967033046,49.51098901098989
GALAUSDT,maker_live_v6_output,10,flip,sell,1787022637000,1787022639402,0.001449,6.903693476009083,0.9968795408732797,-0.999999999999896,-19.253278122844133,29.055900621117647,1.450655624569126
GALAUSDT,maker_live_v6_output,10,flip,sell,1787022646000,1787022648074,0.001447,6.913238852401769,0.9904907456674564,-0.41129712414417924,-5.455425017277584,8.366275051831254,-26.18797512094009
GALAUSDT,maker_live_v6_output,10,flip,sell,1787022659250,1787022660579,0.00145,6.89893066574623,0.9999999999999903,-0.9999999999998259,1.4482758627573311,-12.34482758620827,-46.82758620689653
GALAUSDT,maker_live_v6_output,10,flip,buy,1787022666000,1787022667801,0.001451,6.889424733034212,-0.999999999999998,0.5120768171102674,1.4458993797385693,29.013094417642638,42.796691936595415
GALAUSDT,maker_live_v6_output,10,flip,sell,1787022684000,1787022685371,0.001461,6.846970215680472,0.8426103401288797,-0.9999999999999989,1.4223134839155809,8.266940452430953,-19.111567419574936
GALAUSDT,maker_live_v6_output,10,flip,sell,1787022693750,1787022696220,0.001462,6.842285323297405,0.7745162986860379,-0.9999999999998735,-5.419972640219333,-12.259917920656513,-12.259917920656513
GALAUSDT,maker_live_v6_output,10,flip,sell,1787022707250,1787022710077,0.001464,6.832934745472606,0.9228020663667983,-0.9999999999999098,1.4153005464485404,8.245901639344142,-5.41530054644854
GALAUSDT,maker_live_v6_output,10,flip,buy,1787022717000,1787022718563,0.001464,6.828269033799358,-0.8739838745983938,0.756572755487826,-5.41530054644854,1.4153005464485404,21.907103825136822
GALAUSDT,maker_live_v6_output,10,flip,sell,1787022727750,1787022728221,0.001465,6.828269033799358,0.9789432745350645,-0.9999999999999986,-5.412969283276904,-19.064846416383038,-25.890784982935365
GALAUSDT,maker_live_v6_output,10,flip,sell,1787022736500,1787022737585,0.001469,6.809669731018949,0.8644518154952414,-0.999999999999812,-5.403675969366141,1.4036759700481034,8.211027910142832
GALAUSDT,maker_live_v6_output,10,flip,buy,1787022744000,1787022744190,0.001467,6.814310051106752,-0.8390163192409494,0.9999999999999964,1.4083162917523269,1.4083162917523269,8.224948875255503
GALAUSDT,maker_live_v6_output,10,flip,buy,1787022749250,1787022751102,0.001467,6.814310051106752,-0.9999999999999956,0.9999999999999961,1.4083162917523269,1.4083162917523269,1.4083162917523269
GALAUSDT,maker_live_v6_output,10,flip,sell,1787022761000,1787022763746,0.001469,6.809669731018949,0.9844312569296,-0.9999999999999588,1.4036759700481034,8.211027910142832,1.4036759700481034
GALAUSDT,maker_live_v6_output,10,flip,buy,1787022780500,1787022780946,0.001469,6.8050357264369925,-0.9999999999999355,0.8193861816675495,-12.211027910142832,-12.211027910142832,-12.211027910142832
GALAUSDT,maker_live_v6_output,240,halt,sell,1787022608000,1787022608920,0.001455,6.8752148504634985,0.7896583688955169,-0.7193732150099302,-5.436426116838945,-5.436426116838945,8.309278350515342
GALAUSDT,maker_live_v6_output,240,halt,sell,1787022615250,1787022617094,0.001456,6.870491240124581,0.9792406600025003,-0.9610924086217794,1.4340659340663895,1.4340659340663895,56.37912087912118
GALAUSDT,maker_live_v6_output,240,halt,buy,1787022623500,1787022624589,0.001453,6.8799449604397385,-0.9999999999999999,0.581612713366609,-26.088093600137604,-39.85271851342105,-19.20578114246466
GALAUSDT,maker_live_v6_output,240,halt,sell,1787022629750,1787022632218,0.001448,6.908462867013006,0.8365641468376724,-0.9999999999998923,1.453038674033607,-5.4530386740321095,1.453038674033607
GALAUSDT,maker_live_v6_output,240,halt,sell,1787022637250,1787022639471,0.001449,6.903693476009083,0.9945496249751189,0.0,-19.253278122844133,29.055900621117647,1.450655624569126
GALAUSDT,maker_live_v6_output,240,halt,sell,1787022645750,1787022648074,0.001447,6.913238852401769,0.9755418922177777,0.0,-5.455425017277584,8.366275051831254,-26.18797512094009
GALAUSDT,maker_live_v6_output,240,halt,sell,1787022658500,1787022660579,0.00145,6.89893066574623,0.8422089579507149,0.0,1.4482758627573311,-12.34482758620827,-46.82758620689653
GALAUSDT,maker_live_v6_output,240,halt,buy,1787022665750,1787022667801,0.001451,6.889424733034212,-0.8202085868865167,0.0,1.4458993797385693,29.013094417642638,42.796691936595415
