symbol,capture,lat_ms,profile,attempts,fills,fill_rate,value1_bp,value5_bp,value15_bp,positive5_rate
WOOUSDT,maker_live_v6_output,10,halt,2,0,0.0,,,,
WOOUSDT,maker_live_v6_output,10,refill,0,0,0.0,,,,
WOOUSDT,maker_live_v6_output,10,flip,0,0,0.0,,,,
WOOUSDT,maker_live_v6_output,240,halt,2,0,0.0,,,,
WOOUSDT,maker_live_v6_output,240,refill,0,0,0.0,,,,
WOOUSDT,maker_live_v6_output,240,flip,0,0,0.0,,,,
CHZUSDT,maker_live_v6_output,10,halt,13,0,0.0,,,,
CHZUSDT,maker_live_v6_output,10,refill,4,0,0.0,,,,
CHZUSDT,maker_live_v6_output,10,flip,3,0,0.0,,,,
CHZUSDT,maker_live_v6_output,240,halt,13,0,0.0,,,,
CHZUSDT,maker_live_v6_output,240,refill,4,0,0.0,,,,
CHZUSDT,maker_live_v6_output,240,flip,3,0,0.0,,,,
GALAUSDT,maker_live_v6_output,10,halt,56,16,0.2857142857142857,-5.64125269237661,-1.5559683057435625,1.0396970697300663,0.4375
GALAUSDT,maker_live_v6_output,10,refill,33,9,0.2727272727272727,-9.662564942608979,-4.7101818408387315,1.4121787046935663,0.3333333333333333
GALAUSDT,maker_live_v6_output,10,flip,40,16,0.4,-2.859316428252689,4.0237241251676945,2.2803052627340032,0.75
GALAUSDT,maker_live_v6_output,240,halt,56,16,0.2857142857142857,-7.565801097495113,-3.687320034888507,-4.137917227241072,0.375
GALAUSDT,maker_live_v6_output,240,refill,34,9,0.2647058823529412,-8.89579275192177,-1.6492266270838485,2.201012573145881,0.3333333333333333
GALAUSDT,maker_live_v6_output,240,flip,48,15,0.3125,-2.6781320670230477,2.3796955099251966,0.07125496763856086,0.4666666666666667
BBUSDT,maker_live_v7_output,10,halt,9,0,0.0,,,,
BBUSDT,maker_live_v7_output,10,refill,3,0,0.0,,,,
BBUSDT,maker_live_v7_output,10,flip,0,0,0.0,,,,
BBUSDT,maker_live_v7_output,240,halt,9,0,0.0,,,,
BBUSDT,maker_live_v7_output,240,refill,3,0,0.0,,,,
BBUSDT,maker_live_v7_output,240,flip,0,0,0.0,,,,
ROBOUSDT,maker_live_v7_output,10,halt,22,1,0.045454545454545456,-5.7425149700597276,1.7425149700597276,9.227544910180482,1.0
ROBOUSDT,maker_live_v7_output,10,refill,2,0,0.0,,,,
ROBOUSDT,maker_live_v7_output,10,flip,4,0,0.0,,,,
ROBOUSDT,maker_live_v7_output,240,halt,22,1,0.045454545454545456,-5.7425149700597276,1.7425149700597276,9.227544910180482,1.0
ROBOUSDT,maker_live_v7_output,240,refill,2,0,0.0,,,,
ROBOUSDT,maker_live_v7_output,240,flip,4,0,0.0,,,,
RAREUSDT,maker_live_v7_output,10,halt,4,0,0.0,,,,
RAREUSDT,maker_live_v7_output,10,refill,0,0,0.0,,,,
RAREUSDT,maker_live_v7_output,10,flip,0,0,0.0,,,,
RAREUSDT,maker_live_v7_output,240,halt,4,0,0.0,,,,
RAREUSDT,maker_live_v7_output,240,refill,0,0,0.0,,,,
RAREUSDT,maker_live_v7_output,240,flip,0,0,0.0,,,,
FETUSDT,maker_live_v9_output,10,halt,19,0,0.0,,,,
FETUSDT,maker_live_v9_output,10,refill,3,0,0.0,,,,
FETUSDT,maker_live_v9_output,10,flip,2,0,0.0,,,,
FETUSDT,maker_live_v9_output,240,halt,19,0,0.0,,,,
FETUSDT,maker_live_v9_output,240,refill,3,0,0.0,,,,
FETUSDT,maker_live_v9_output,240,flip,2,0,0.0,,,,
OPUSDT,maker_live_v9_output,10,halt,66,2,0.030303030303030304,-8.180469715697713,-8.180469715697713,-2.0,0.0
OPUSDT,maker_live_v9_output,10,refill,5,0,0.0,,,,
OPUSDT,maker_live_v9_output,10,flip,8,0,0.0,,,,
OPUSDT,maker_live_v9_output,240,halt,66,2,0.030303030303030304,-8.180469715697713,-8.180469715697713,-2.0,0.0
OPUSDT,maker_live_v9_output,240,refill,5,0,0.0,,,,
OPUSDT,maker_live_v9_output,240,flip,8,0,0.0,,,,
WIFUSDT,maker_live_v9_output,10,halt,5,0,0.0,,,,
WIFUSDT,maker_live_v9_output,10,refill,0,0,0.0,,,,
WIFUSDT,maker_live_v9_output,10,flip,0,0,0.0,,,,
WIFUSDT,maker_live_v9_output,240,halt,5,0,0.0,,,,
WIFUSDT,maker_live_v9_output,240,refill,0,0,0.0,,,,
WIFUSDT,maker_live_v9_output,240,flip,0,0,0.0,,,,
