symbol,book_events,agg_trades,median_spread_bp,p75_spread_bp,median_bid_usd,median_ask_usd
FETUSDT,626,72,8.336807002916965,8.343763037129984,8179.944,7379.58
OPUSDT,2199,165,12.3533045089565,12.36858379715558,21670.80435,20857.9698
WIFUSDT,375,13,7.421150278294379,7.421150278294379,6773.35466,4613.34128
IMXUSDT,588,61,9.985022466300837,9.985022466300837,766.4298,931.4861
ARKMUSDT,138,7,11.607661056297488,11.607661056297488,637.2261,2663.0628
JUPUSDT,412,18,6.0771801883919165,6.080875646094055,3389.029,3198.5895
WOOUSDT,177,14,9.760858955587693,9.770395701027187,1439.2845,76.30362
CHZUSDT,246,23,8.54335753951268,8.54335753951268,4190.2146,4658.419505
GALAUSDT,2578,399,6.961364427427191,6.9662138627650005,1922.1816900000001,2564.180307
BBUSDT,234,24,9.447331128955684,9.447331128955684,402.372435,175.07388000000003
ROBOUSDT,771,95,7.482229704451622,7.48783227255679,568.802,849.18832
RAREUSDT,245,38,8.166598611679321,8.166598611679321,1302.6542399999998,1025.3495
APEUSDT,219,12,8.206811653671645,8.206811653671645,3382.7514,918.5165
BLURUSDT,311,19,7.803355442840104,7.803355442840104,691.74,373.34404
GMTUSDT,238,39,3.387533875337734,3.3915550279793085,54.093770500000005,41.6357155
SANDUSDT,738,59,2.6444532592876167,2.6465528648924503,373.20776,301.33745999999996
MASKUSDT,183,15,2.9099374363447983,2.9099374363447983,96.236,105.8596
API3USDT,156,9,5.242463958059711,5.242463958059711,212.32224,258.62026
C98USDT,101,10,7.181328545780677,7.181328545780677,236.292,116.0369
ONEUSDT,564,44,4.307559767392656,5.728197049978659,66.74119135000001,48.1984506
