symbol,lat_ms,profile,attempts,fills,fill_rate,mean_spread_bp,value1_bp,value5_bp,value15_bp,positive5_rate
FETUSDT,10,all,75,1,0.013333333333333334,8.329862557268044,-6.163197335554402,-6.163197335554402,-6.163197335554402,0.0
FETUSDT,10,protected,47,1,0.02127659574468085,8.329862557268044,-6.163197335554402,-6.163197335554402,-6.163197335554402,0.0
FETUSDT,10,neutral,16,0,0.0,,,,,
FETUSDT,240,all,75,1,0.013333333333333334,8.329862557268044,-6.163197335554402,-6.163197335554402,-6.163197335554402,0.0
FETUSDT,240,protected,47,0,0.0,,,,,
FETUSDT,240,neutral,16,0,0.0,,,,,
OPUSDT,10,all,75,1,0.013333333333333334,12.3533045089565,-8.180469715697713,-8.180469715697713,4.180469715697713,0.0
OPUSDT,10,protected,43,0,0.0,,,,,
OPUSDT,10,neutral,8,0,0.0,,,,,
OPUSDT,240,all,75,1,0.013333333333333334,12.3533045089565,-8.180469715697713,-8.180469715697713,4.180469715697713,0.0
OPUSDT,240,protected,43,1,0.023255813953488372,12.3533045089565,-8.180469715697713,-8.180469715697713,-8.180469715697713,0.0
OPUSDT,240,neutral,8,0,0.0,,,,,
WIFUSDT,10,all,66,0,0.0,,,,,
WIFUSDT,10,protected,55,0,0.0,,,,,
WIFUSDT,10,neutral,46,0,0.0,,,,,
WIFUSDT,240,all,66,0,0.0,,,,,
WIFUSDT,240,protected,55,0,0.0,,,,,
WIFUSDT,240,neutral,46,0,0.0,,,,,
IMXUSDT,10,all,70,6,0.08571428571428572,9.978385693321343,-3.660850782647118,-1.9991691608460382,-0.3358291741524799,0.5
IMXUSDT,10,protected,47,4,0.0851063829787234,9.977557337371822,-4.493766206370979,-4.493766206370979,-1.998756226330641,0.25
IMXUSDT,10,neutral,22,1,0.045454545454545456,9.985022466300837,-6.990019960080676,-6.990019960080676,2.9900199600806756,0.0
IMXUSDT,240,all,70,5,0.07142857142857142,9.977058338725445,-4.991024931192677,-2.997006985031381,-1.0009990009991108,0.4
IMXUSDT,240,protected,48,4,0.08333333333333333,9.980052345483994,-9.487524942645175,-6.990022445142259,-4.495012465101921,0.0
IMXUSDT,240,neutral,22,2,0.09090909090909091,9.99001248252518,-11.987517472548392,-6.992512477542561,-2.002492517461885,0.0
ARKMUSDT,10,all,72,0,0.0,,,,,
ARKMUSDT,10,protected,68,0,0.0,,,,,
ARKMUSDT,10,neutral,64,0,0.0,,,,,
ARKMUSDT,240,all,72,0,0.0,,,,,
ARKMUSDT,240,protected,68,0,0.0,,,,,
ARKMUSDT,240,neutral,64,0,0.0,,,,,
JUPUSDT,10,all,60,0,0.0,,,,,
JUPUSDT,10,protected,48,0,0.0,,,,,
JUPUSDT,10,neutral,38,0,0.0,,,,,
JUPUSDT,240,all,60,0,0.0,,,,,
JUPUSDT,240,protected,48,0,0.0,,,,,
JUPUSDT,240,neutral,38,0,0.0,,,,,
WOOUSDT,10,all,68,0,0.0,,,,,
WOOUSDT,10,protected,57,0,0.0,,,,,
WOOUSDT,10,neutral,46,0,0.0,,,,,
WOOUSDT,240,all,68,0,0.0,,,,,
WOOUSDT,240,protected,57,0,0.0,,,,,
WOOUSDT,240,neutral,46,0,0.0,,,,,
CHZUSDT,10,all,72,0,0.0,,,,,
CHZUSDT,10,protected,57,0,0.0,,,,,
CHZUSDT,10,neutral,44,0,0.0,,,,,
CHZUSDT,240,all,72,0,0.0,,,,,
CHZUSDT,240,protected,57,0,0.0,,,,,
CHZUSDT,240,neutral,44,0,0.0,,,,,
GALAUSDT,10,all,57,15,0.2631578947368421,6.960096498918653,-11.064157738599002,-5.49311039616356,-8.283174027027743,0.4666666666666667
GALAUSDT,10,protected,44,9,0.20454545454545456,6.955991888732441,-6.253496845923973,-3.9300847616019814,-2.385806952329829,0.4444444444444444
GALAUSDT,10,neutral,25,5,0.2,6.959435445751071,-6.875622376228587,-4.087199417042991,-4.092040087909165,0.4
GALAUSDT,240,all,59,14,0.23728813559322035,6.960002048766282,-9.96646448033503,-5.490075080533539,-6.489768373828313,0.5
GALAUSDT,240,protected,44,7,0.1590909090909091,6.955839541051826,-6.4729177607670305,-5.475327452591633,-3.4877534157821595,0.2857142857142857
GALAUSDT,240,neutral,26,4,0.15384615384615385,6.9625835333123005,-10.703527236314539,-3.739737246956803,-12.440838077958826,0.25
BBUSDT,10,all,72,0,0.0,,,,,
BBUSDT,10,protected,59,0,0.0,,,,,
BBUSDT,10,neutral,46,0,0.0,,,,,
BBUSDT,240,all,72,0,0.0,,,,,
BBUSDT,240,protected,59,0,0.0,,,,,
BBUSDT,240,neutral,46,0,0.0,,,,,
ROBOUSDT,10,all,69,5,0.07246376811594203,7.47218855575004,-14.701655217152483,-14.707245244543618,-14.708366597343892,0.2
ROBOUSDT,10,protected,54,1,0.018518518518518517,7.48783227255679,-13.227544910179184,-13.227544910179184,-5.7425149700597276,0.0
ROBOUSDT,10,neutral,32,1,0.03125,7.48783227255679,-13.227544910179184,-13.227544910179184,-5.7425149700597276,0.0
ROBOUSDT,240,all,68,6,0.08823529411764706,7.4747958418844975,-11.960960185950448,-11.965618542109723,-14.46156298281644,0.3333333333333333
ROBOUSDT,240,protected,53,2,0.03773584905660377,7.48783227255679,-5.742514970059728,-5.742514970059728,-9.485029940119455,0.5
ROBOUSDT,240,neutral,32,1,0.03125,7.48783227255679,-13.227544910179184,-13.227544910179184,-5.7425149700597276,0.0
RAREUSDT,10,all,76,0,0.0,,,,,
RAREUSDT,10,protected,48,0,0.0,,,,,
RAREUSDT,10,neutral,22,0,0.0,,,,,
RAREUSDT,240,all,76,0,0.0,,,,,
RAREUSDT,240,protected,48,0,0.0,,,,,
RAREUSDT,240,neutral,22,0,0.0,,,,,
APEUSDT,10,all,46,1,0.021739130434782608,8.206811653671645,2.1017227235434373,2.1017227235434373,2.1017227235434373,1.0
APEUSDT,10,protected,42,1,0.023809523809523808,8.206811653671645,2.1017227235434373,2.1017227235434373,2.1017227235434373,1.0
APEUSDT,10,neutral,34,1,0.029411764705882353,8.206811653671645,2.1017227235434373,2.1017227235434373,2.1017227235434373,1.0
APEUSDT,240,all,46,1,0.021739130434782608,8.206811653671645,2.1017227235434373,2.1017227235434373,2.1017227235434373,1.0
APEUSDT,240,protected,42,1,0.023809523809523808,8.206811653671645,2.1017227235434373,2.1017227235434373,2.1017227235434373,1.0
APEUSDT,240,neutral,34,1,0.029411764705882353,8.206811653671645,2.1017227235434373,2.1017227235434373,2.1017227235434373,1.0
BLURUSDT,10,all,68,0,0.0,,,,,
BLURUSDT,10,protected,52,0,0.0,,,,,
BLURUSDT,10,neutral,38,0,0.0,,,,,
BLURUSDT,240,all,68,0,0.0,,,,,
BLURUSDT,240,protected,52,0,0.0,,,,,
BLURUSDT,240,neutral,38,0,0.0,,,,,
GMTUSDT,10,all,20,0,0.0,,,,,
GMTUSDT,10,protected,12,0,0.0,,,,,
GMTUSDT,10,neutral,4,0,0.0,,,,,
GMTUSDT,240,all,20,0,0.0,,,,,
GMTUSDT,240,protected,15,0,0.0,,,,,
GMTUSDT,240,neutral,12,0,0.0,,,,,
SANDUSDT,10,all,0,0,0.0,,,,,
SANDUSDT,10,protected,0,0,0.0,,,,,
SANDUSDT,10,neutral,0,0,0.0,,,,,
SANDUSDT,240,all,0,0,0.0,,,,,
SANDUSDT,240,protected,0,0,0.0,,,,,
SANDUSDT,240,neutral,0,0,0.0,,,,,
MASKUSDT,10,all,8,0,0.0,,,,,
MASKUSDT,10,protected,4,0,0.0,,,,,
MASKUSDT,10,neutral,0,0,0.0,,,,,
MASKUSDT,240,all,10,0,0.0,,,,,
MASKUSDT,240,protected,7,0,0.0,,,,,
MASKUSDT,240,neutral,4,0,0.0,,,,,
API3USDT,10,all,66,0,0.0,,,,,
API3USDT,10,protected,58,0,0.0,,,,,
API3USDT,10,neutral,50,0,0.0,,,,,
API3USDT,240,all,66,0,0.0,,,,,
API3USDT,240,protected,58,0,0.0,,,,,
API3USDT,240,neutral,50,0,0.0,,,,,
C98USDT,10,all,74,0,0.0,,,,,
C98USDT,10,protected,69,0,0.0,,,,,
C98USDT,10,neutral,62,0,0.0,,,,,
C98USDT,240,all,74,0,0.0,,,,,
C98USDT,240,protected,69,0,0.0,,,,,
C98USDT,240,neutral,62,0,0.0,,,,,
ONEUSDT,10,all,27,2,0.07407407407407407,5.021985820882687,-7.382827188278487,-7.74125012734679,-10.250210700824137,0.0
ONEUSDT,10,protected,18,1,0.05555555555555555,5.7364118743727195,-2.7168458781366067,-3.4336917562732134,-8.451612903226351,0.0
ONEUSDT,10,neutral,6,0,0.0,,,,,
ONEUSDT,240,all,27,2,0.07407407407407407,5.021985820882687,-7.382827188278487,-7.74125012734679,-10.250210700824137,0.0
ONEUSDT,240,protected,21,1,0.047619047619047616,5.7364118743727195,-2.7168458781366067,-3.4336917562732134,-8.451612903226351,0.0
ONEUSDT,240,neutral,10,0,0.0,,,,,
