ts,bid,bidq,ask,askq,mid,spread_bp
1787025153328,0.001384,1653624.0,0.001385,3580341.0,0.0013844999999999999,7.222824124231968
1787025153455,0.001384,1648365.0,0.001385,3580341.0,0.0013844999999999999,7.222824124231968
1787025153658,0.001384,1648365.0,0.001385,3864520.0,0.0013844999999999999,7.222824124231968
1787025153659,0.001384,1677425.0,0.001385,3864520.0,0.0013844999999999999,7.222824124231968
1787025153833,0.001384,1677425.0,0.001385,5720553.0,0.0013844999999999999,7.222824124231968
1787025153834,0.001383,2245608.0,0.001385,5720553.0,0.0013839999999999998,14.450867052023474
1787025153835,0.001383,2002245.0,0.001384,242230.0,0.0013835,7.228044813878806
1787025153836,0.001383,2149291.0,0.001384,529182.0,0.0013835,7.228044813878806
1787025153837,0.001383,836472.0,0.001384,830984.0,0.0013835,7.228044813878806
1787025153838,0.001383,813657.0,0.001384,883435.0,0.0013835,7.228044813878806
1787025153841,0.001383,586569.0,0.001384,883435.0,0.0013835,7.228044813878806
1787025153988,0.001383,586569.0,0.001384,895362.0,0.0013835,7.228044813878806
1787025153989,0.001383,598496.0,0.001384,895362.0,0.0013835,7.228044813878806
1787025154000,0.001383,598496.0,0.001384,950640.0,0.0013835,7.228044813878806
1787025154037,0.001383,598496.0,0.001384,994775.0,0.0013835,7.228044813878806
1787025154038,0.001383,598496.0,0.001384,1821615.0,0.0013835,7.228044813878806
1787025154039,0.001382,3257456.0,0.001384,1809688.0,0.0013830000000000001,14.46131597975451
1787025154040,0.001382,3257456.0,0.001383,400914.0,0.0013825,7.233273056057258
1787025154041,0.001382,2122126.0,0.001383,696776.0,0.0013825,7.233273056057258
1787025154042,0.001382,1422658.0,0.001383,1032205.0,0.0013825,7.233273056057258
1787025154045,0.001382,1206393.0,0.001383,1032205.0,0.0013825,7.233273056057258
1787025154050,0.001382,406393.0,0.001383,1032205.0,0.0013825,7.233273056057258
1787025154052,0.001382,454870.0,0.001383,1032205.0,0.0013825,7.233273056057258
1787025154070,0.001382,454870.0,0.001383,1021359.0,0.0013825,7.233273056057258
1787025154071,0.001382,460295.0,0.001383,1021359.0,0.0013825,7.233273056057258
1787025154097,0.001382,458375.0,0.001383,1021359.0,0.0013825,7.233273056057258
1787025154108,0.001382,470310.0,0.001383,1033294.0,0.0013825,7.233273056057258
1787025154123,0.001382,470310.0,0.001383,443269.0,0.0013825,7.233273056057258
1787025154124,0.001382,690393.0,0.001383,443269.0,0.0013825,7.233273056057258
1787025154125,0.001382,690393.0,0.001383,204794.0,0.0013825,7.233273056057258
1787025154126,0.001382,928868.0,0.001383,204794.0,0.0013825,7.233273056057258
1787025154128,0.001383,439406.0,0.001384,3674167.0,0.0013835,7.228044813878806
1787025154129,0.001383,536360.0,0.001384,2183678.0,0.0013835,7.228044813878806
1787025154130,0.001383,540337.0,0.001384,951440.0,0.0013835,7.228044813878806
1787025154131,0.001383,540337.0,0.001384,987223.0,0.0013835,7.228044813878806
1787025154156,0.001383,514012.0,0.001384,987223.0,0.0013835,7.228044813878806
1787025154165,0.001382,1229508.0,0.001384,987223.0,0.0013830000000000001,14.46131597975451
1787025154166,0.001382,997497.0,0.001383,472404.0,0.0013825,7.233273056057258
1787025154167,0.001382,769209.0,0.001383,979439.0,0.0013825,7.233273056057258
