ts,bid,bidq,ask,askq,mid,spread_bp
1787024824097,0.0997,29241.0,0.0998,10104.0,0.09975,10.02506265664189
1787024824098,0.0997,29241.0,0.0998,9855.0,0.09975,10.02506265664189
1787024824099,0.0997,30216.0,0.0998,9855.0,0.09975,10.02506265664189
1787024824520,0.0997,30216.0,0.0998,9794.0,0.09975,10.02506265664189
1787024824530,0.0997,30216.0,0.0998,9744.0,0.09975,10.02506265664189
1787024824674,0.0997,30216.0,0.0998,9694.0,0.09975,10.02506265664189
1787024824739,0.0997,30216.0,0.0998,9644.0,0.09975,10.02506265664189
1787024824787,0.0997,30216.0,0.0998,9594.0,0.09975,10.02506265664189
1787024824840,0.0997,31465.0,0.0998,9594.0,0.09975,10.02506265664189
1787024824937,0.0997,34898.0,0.0998,9594.0,0.09975,10.02506265664189
1787024825138,0.0997,40329.0,0.0998,9594.0,0.09975,10.02506265664189
1787024825434,0.0997,40329.0,0.0998,9647.0,0.09975,10.02506265664189
1787024825838,0.0997,34898.0,0.0998,9647.0,0.09975,10.02506265664189
1787024826039,0.0997,31465.0,0.0998,9647.0,0.09975,10.02506265664189
1787024826137,0.0997,34898.0,0.0998,9647.0,0.09975,10.02506265664189
1787024826191,0.0997,34898.0,0.0998,9749.0,0.09975,10.02506265664189
1787024826939,0.0997,31465.0,0.0998,9749.0,0.09975,10.02506265664189
1787024827038,0.0997,30216.0,0.0998,9749.0,0.09975,10.02506265664189
1787024827639,0.0997,33649.0,0.0998,9749.0,0.09975,10.02506265664189
1787024827640,0.0997,34898.0,0.0998,9749.0,0.09975,10.02506265664189
1787024827939,0.0997,30216.0,0.0998,9749.0,0.09975,10.02506265664189
1787024828097,0.0997,30216.0,0.0998,10239.0,0.09975,10.02506265664189
1787024828339,0.0997,31465.0,0.0998,10239.0,0.09975,10.02506265664189
1787024828639,0.0997,34898.0,0.0998,10239.0,0.09975,10.02506265664189
1787024829039,0.0997,31465.0,0.0998,10239.0,0.09975,10.02506265664189
1787024829097,0.0997,31465.0,0.0998,9749.0,0.09975,10.02506265664189
1787024829137,0.0997,34898.0,0.0998,9749.0,0.09975,10.02506265664189
1787024829796,0.0997,34898.0,0.0998,9849.0,0.09975,10.02506265664189
1787024829938,0.0997,31465.0,0.0998,9849.0,0.09975,10.02506265664189
1787024829939,0.0997,30216.0,0.0998,9849.0,0.09975,10.02506265664189
1787024830098,0.0997,30216.0,0.0998,10094.0,0.09975,10.02506265664189
1787024830099,0.0997,30216.0,0.0998,10339.0,0.09975,10.02506265664189
1787024830258,0.0997,30216.0,0.0998,10139.0,0.09975,10.02506265664189
1787024830298,0.0997,30216.0,0.0998,10039.0,0.09975,10.02506265664189
1787024830440,0.0997,31465.0,0.0998,10039.0,0.09975,10.02506265664189
1787024830538,0.0997,34898.0,0.0998,10039.0,0.09975,10.02506265664189
1787024830799,0.0997,34898.0,0.0998,10139.0,0.09975,10.02506265664189
1787024831041,0.0997,31465.0,0.0998,10139.0,0.09975,10.02506265664189
1787024831099,0.0997,31465.0,0.0998,9649.0,0.09975,10.02506265664189
1787024831187,0.0997,31465.0,0.0998,12091.0,0.09975,10.02506265664189
1787024831738,0.0997,30216.0,0.0998,12091.0,0.09975,10.02506265664189
1787024832239,0.0997,31465.0,0.0998,12091.0,0.09975,10.02506265664189
1787024832298,0.0997,31465.0,0.0998,11991.0,0.09975,10.02506265664189
1787024832339,0.0997,34898.0,0.0998,11991.0,0.09975,10.02506265664189
1787024832540,0.0997,31465.0,0.0998,11991.0,0.09975,10.02506265664189
1787024832740,0.0997,30216.0,0.0998,11991.0,0.09975,10.02506265664189
1787024832798,0.0997,30216.0,0.0998,12091.0,0.09975,10.02506265664189
