strategy,horizon_s,day,n,mean_gross_bps,win_rate_gross
absorption_rev,1,2026-08-14,396,-0.016809474252978965,0.1893939393939394
absorption_rev,1,2026-08-15,516,-0.008580229960872812,0.18604651162790697
absorption_rev,1,2026-08-16,520,-0.008626345637087163,0.18269230769230768
absorption_rev,5,2026-08-14,311,-0.04251767352751396,0.2508038585209003
absorption_rev,5,2026-08-15,375,-0.031012943072565177,0.2613333333333333
absorption_rev,5,2026-08-16,353,-0.037004617195221454,0.18980169971671387
absorption_rev,30,2026-08-14,269,-0.16131050127930213,0.37174721189591076
absorption_rev,30,2026-08-15,324,-0.11291712820004038,0.31790123456790126
absorption_rev,30,2026-08-16,312,-0.01856547614856412,0.28846153846153844
flow_cont,1,2026-08-14,3838,0.020609652884849394,0.19880145909327776
flow_cont,1,2026-08-15,8329,0.00542542961501775,0.11874174570776803
flow_cont,1,2026-08-16,6681,0.0052497362102404575,0.12408322107468941
flow_cont,5,2026-08-14,2451,0.07705410774707731,0.3382292941656467
flow_cont,5,2026-08-15,4796,0.025027127040644918,0.20016680567139283
flow_cont,5,2026-08-16,3931,0.025169462910691675,0.20274739252098703
flow_cont,30,2026-08-14,1213,0.11080825789659629,0.4748557295960429
flow_cont,30,2026-08-15,1895,0.09131764352850559,0.3366754617414248
flow_cont,30,2026-08-16,1612,0.08750407347776251,0.3021091811414392
flow_persistence,1,2026-08-14,2867,0.016813286841554132,0.21067317753749565
flow_persistence,1,2026-08-15,2897,0.005821055691365347,0.1259924059371764
flow_persistence,1,2026-08-16,2181,0.01019158523605316,0.1448876662081614
flow_persistence,5,2026-08-14,2344,0.04398930776916131,0.34257679180887374
flow_persistence,5,2026-08-15,2325,0.03690259610320106,0.2232258064516129
flow_persistence,5,2026-08-16,1825,0.04541906880682007,0.24164383561643835
flow_persistence,30,2026-08-14,1264,0.09825365316688453,0.48575949367088606
flow_persistence,30,2026-08-15,1254,0.09378770287810462,0.3405103668261563
flow_persistence,30,2026-08-16,1079,0.11556942571686944,0.35032437442076
