symbol,family,rid,latency,horizon_s,extra_stress_bps,train_mean_net_bps,train_n,n,mean_gross_bps,mean_net_bps,win_net,t_gross,ci95_low_net,median_gross_bps,p10_gross_bps,p90_gross_bps
BTCUSDT,exhaustion_rev,3,500ms,1,0.0,-10.030720905464618,503,535,-0.019295704713463348,-10.019295704713464,0.0,-2.258053754137525,-10.036044456229716,0.0,-0.01589793531742422,0.015757041804276027
BTCUSDT,exhaustion_rev,3,500ms,1,1.0,-10.030720905464618,503,535,-0.019295704713463348,-11.019295704713464,0.0,-2.258053754137525,-11.036044456229716,0.0,-0.01589793531742422,0.015757041804276027
BTCUSDT,exhaustion_rev,3,500ms,1,2.0,-10.030720905464618,503,535,-0.019295704713463348,-12.019295704713464,0.0,-2.258053754137525,-12.036044456229716,0.0,-0.01589793531742422,0.015757041804276027
BTCUSDT,exhaustion_rev,3,~250ms,1,0.0,-10.038462032384755,522,556,-0.01710747558594831,-10.017107475585949,0.0,-1.9519796923744823,-10.034285242485598,0.0,-0.015899743156877897,0.015764093572094753
BTCUSDT,exhaustion_rev,3,~250ms,1,1.0,-10.038462032384755,522,556,-0.01710747558594831,-11.017107475585949,0.0,-1.9519796923744823,-11.034285242485598,0.0,-0.015899743156877897,0.015764093572094753
BTCUSDT,exhaustion_rev,3,~250ms,1,2.0,-10.038462032384755,522,556,-0.01710747558594831,-12.017107475585949,0.0,-1.9519796923744823,-12.034285242485598,0.0,-0.015899743156877897,0.015764093572094753
BTCUSDT,exhaustion_rev,13,500ms,1,0.0,-10.045912162042223,105,181,-0.04193476843463818,-10.041934768434638,0.0,-3.28283557956114,-10.066971704991442,0.0,-0.015907950236043748,0.015773231406243204
BTCUSDT,exhaustion_rev,13,500ms,1,1.0,-10.045912162042223,105,181,-0.04193476843463818,-11.041934768434638,0.0,-3.28283557956114,-11.066971704991442,0.0,-0.015907950236043748,0.015773231406243204
BTCUSDT,exhaustion_rev,13,500ms,1,2.0,-10.045912162042223,105,181,-0.04193476843463818,-12.041934768434638,0.0,-3.28283557956114,-12.066971704991442,0.0,-0.015907950236043748,0.015773231406243204
BTCUSDT,flow_accel,4,~250ms,60,0.0,-9.739005170456105,123,53,0.11521223541935928,-9.884787764580642,0.0,0.4429271019998107,-10.39461428095859,-0.015676426024383728,-2.2079904170002678,2.3266831953357006
BTCUSDT,flow_accel,4,~250ms,60,1.0,-9.739005170456105,123,53,0.11521223541935928,-10.884787764580643,0.0,0.4429271019998107,-11.394614280958592,-0.015676426024383728,-2.2079904170002678,2.3266831953357006
BTCUSDT,flow_accel,4,~250ms,60,2.0,-9.739005170456105,123,53,0.11521223541935928,-11.884787764580643,0.0,0.4429271019998107,-12.394614280958592,-0.015676426024383728,-2.2079904170002678,2.3266831953357006
BTCUSDT,flow_accel,9,500ms,120,0.0,-9.748744211445906,63,21,-0.359402028519728,-10.359402028519728,0.0,-0.6319779777280257,-11.474042096249779,-0.7684773722489482,-2.6804125487797177,2.730128387593758
BTCUSDT,flow_accel,9,500ms,120,1.0,-9.748744211445906,63,21,-0.359402028519728,-11.359402028519728,0.0,-0.6319779777280257,-12.474042096249779,-0.7684773722489482,-2.6804125487797177,2.730128387593758
