leader,target,family,rid,latency,horizon_s,train_net_bps,train_n,n,mean_gross_bps,mean_net_bps,ci95_low_net,win_net,pass_after_taker_fees,pass_gross_ge_maker_rt
ETHUSDT,SOLUSDT,catchup90,14,~250ms,300,-7.196360772272894,34,22,3.549333174083257,-6.450666825916742,-11.157283153465288,0.18181818181818182,False,False
ETHUSDT,SOLUSDT,catchup90,14,500ms,300,-7.506568723627892,34,22,3.1310188579488387,-6.868981142051161,-11.46993519502855,0.18181818181818182,False,False
ETHUSDT,SOLUSDT,catchup90,10,~250ms,300,-8.147922350802979,45,27,2.8709801551582665,-7.129019844841735,-12.027682336022458,0.18518518518518517,False,False
ETHUSDT,SOLUSDT,catchup90,10,500ms,300,-8.4723399499549,45,27,2.481852895855522,-7.518147104144479,-12.219543254933088,0.18518518518518517,False,False
BTCUSDT,SOLUSDT,overshoot_reversal,35,500ms,300,-9.569300555105,74,46,1.8402506602631652,-8.159749339736836,-11.685256663995823,0.2391304347826087,False,False
BTCUSDT,SOLUSDT,catchup90,14,~250ms,300,-7.879941040113184,67,63,1.6634416555442673,-8.336558344455732,-10.555878911713041,0.14285714285714285,False,False
BTCUSDT,SOLUSDT,overshoot_reversal,35,~250ms,300,-9.425186728169662,74,46,1.6108709742707374,-8.389129025729263,-11.961001339520449,0.2391304347826087,False,False
BTCUSDT,SOLUSDT,catchup90,6,~250ms,300,-7.99311774632275,151,147,1.256515277462438,-8.743484722537561,-10.395073948895456,0.1360544217687075,False,False
BTCUSDT,SOLUSDT,catchup75,21,~250ms,300,-7.987110717754855,150,161,1.2469457216810962,-8.753054278318904,-10.461458009241168,0.14285714285714285,False,False
BTCUSDT,ETHUSDT,catchup90,26,~250ms,60,-8.572767556902043,34,30,1.2266502230798224,-8.773349776920178,-9.91733334507991,0.0,False,False
BTCUSDT,ETHUSDT,catchup75,41,~250ms,60,-8.380857530493195,25,24,1.2086124540829715,-8.791387545917027,-10.103373066304632,0.0,False,False
BTCUSDT,ETHUSDT,catchup75,41,500ms,60,-8.41611277954259,25,24,1.1707815610709658,-8.829218438929034,-10.122220632753379,0.0,False,False
BTCUSDT,ETHUSDT,catchup90,26,~250ms,120,-7.997780468702306,34,30,1.1413763640893093,-8.858623635910693,-10.552030970574211,0.03333333333333333,False,False
BTCUSDT,ETHUSDT,catchup90,26,500ms,120,-8.068713234080533,34,30,1.093626197712945,-8.906373802287055,-10.595005624038778,0.03333333333333333,False,False
BTCUSDT,ETHUSDT,catchup90,30,~250ms,30,-8.629421299219281,25,18,1.0692277611207341,-8.930772238879266,-9.947786939265368,0.0,False,False
ETHUSDT,SOLUSDT,overshoot_reversal,19,500ms,120,-9.785216434199617,114,92,0.8193093988214565,-9.180690601178544,-10.577207160891847,0.07608695652173914,False,False
BTCUSDT,SOLUSDT,catchup90,30,~250ms,300,-7.974025021386095,33,35,0.5399178549179613,-9.460082145082039,-12.612298055682134,0.11428571428571428,False,False
BTCUSDT,ETHUSDT,catchup75,41,~250ms,120,-8.480652163290202,25,24,0.5212673116976503,-9.47873268830235,-11.250088858509907,0.0,False,False
BTCUSDT,SOLUSDT,leader_momentum,44,~250ms,300,-7.6863262940063475,56,52,0.5151399450077541,-9.484860054992247,-12.091211831637757,0.1346153846153846,False,False
BTCUSDT,SOLUSDT,catchup90,30,500ms,300,-8.054686251015161,33,35,0.5012904344073884,-9.49870956559261,-12.556788536795372,0.11428571428571428,False,False
BTCUSDT,ETHUSDT,catchup75,41,500ms,120,-8.497324958207894,25,24,0.483457950576111,-9.516542049423888,-11.276495314759302,0.0,False,False
BTCUSDT,SOLUSDT,overshoot_reversal,11,500ms,300,-9.578167621441745,137,112,0.3622533143612228,-9.637746685638778,-11.46961263402737,0.09821428571428571,False,False
BTCUSDT,SOLUSDT,overshoot_reversal,11,~250ms,300,-9.567519737613758,137,112,0.34981647538169497,-9.650183524618305,-11.48385304060559,0.10714285714285714,False,False
BTCUSDT,ETHUSDT,overshoot_reversal,11,500ms,120,-9.18104145508559,123,98,0.31521637201184616,-9.684783627988153,-11.024453699809175,0.07142857142857142,False,False
BTCUSDT,SOLUSDT,catchup75,33,~250ms,120,-7.860340444925188,87,80,0.2469195509410574,-9.753080449058942,-11.11374631282152,0.0625,False,False
BTCUSDT,ETHUSDT,overshoot_reversal,11,~250ms,120,-9.176465354761657,123,98,0.24592424340948466,-9.754075756590515,-11.087405345234284,0.07142857142857142,False,False
ETHUSDT,SOLUSDT,catchup75,33,~250ms,120,-8.344527468433231,34,46,0.14750332488982104,-9.852496675110178,-11.642326972479614,0.08695652173913043,False,False
BTCUSDT,ETHUSDT,leader_momentum,44,~250ms,60,-7.922665113694322,56,52,0.07691355139319353,-9.923086448606806,-11.131376961450654,0.0,False,False
BTCUSDT,SOLUSDT,catchup75,37,~250ms,120,-7.856950344637206,71,60,0.0009961914527676363,-9.999003808547231,-11.673163237131526,0.06666666666666667,False,False
BTCUSDT,ETHUSDT,leader_momentum,44,500ms,60,-8.008595434003999,56,52,-0.03008018568014967,-10.03008018568015,-11.252379445946914,0.0,False,False
BTCUSDT,SOLUSDT,catchup75,37,500ms,120,-8.025961271222409,71,60,-0.06597305552215066,-10.065973055522148,-11.742875382958845,0.08333333333333333,False,False
BTCUSDT,SOLUSDT,leader_momentum,44,~250ms,60,-7.59033451354297,56,52,-0.07440252178619057,-10.07440252178619,-11.362643250541208,0.0,False,False
BTCUSDT,ETHUSDT,overshoot_reversal,15,~250ms,120,-9.372628054969384,102,84,-0.16317506433043907,-10.16317506433044,-11.543737788604341,0.03571428571428571,False,False
ETHUSDT,SOLUSDT,overshoot_reversal,15,~250ms,60,-9.942316933254395,62,94,-0.18538899364560976,-10.18538899364561,-11.094518265786915,0.010638297872340425,False,False
ETHUSDT,SOLUSDT,leader_momentum,32,~250ms,60,-8.61386653782272,112,103,-0.3203772894826802,-10.320377289482678,-11.342063916715398,0.038834951456310676,False,False
BTCUSDT,SOLUSDT,leader_momentum,44,500ms,120,-7.305464366202216,56,52,-0.5064311751402113,-10.50643117514021,-12.370312475801954,0.038461538461538464,False,False
ETHUSDT,SOLUSDT,overshoot_reversal,39,500ms,5,-9.887397146255001,36,23,-0.6315143664742567,-10.631514366474258,-11.88086573309937,0.0,False,False
BTCUSDT,SOLUSDT,leader_momentum,44,~250ms,120,-7.255075164058353,56,52,-0.658080892230299,-10.658080892230297,-12.510322944744125,0.038461538461538464,False,False
ETHUSDT,SOLUSDT,overshoot_reversal,35,500ms,5,-9.872880791598849,41,24,-0.7150632752882213,-10.715063275288221,-11.92238327551575,0.0,False,False
