ts,bid,bidq,ask,askq,mid,spread_bp
1787026310257,64063.9,0.0105,64080.7,0.0105,64072.3,2.6220379165404757
1787026310258,64057.3,0.0106,64080.7,0.0105,64069.0,3.6523123507459427
1787026310259,64057.3,0.0106,64076.9,0.0641,64067.100000000006,3.059292522995195
1787026310260,64058.2,0.0641,64076.9,0.0641,64067.55,2.918794303825316
1787026310261,64058.2,0.0641,64073.9,0.0105,64066.05,2.4505959084420477
1787026310270,64060.6,0.0105,64073.9,0.0105,64067.25,2.0759436373502704
1787026310277,64062.1,0.0641,64073.9,0.0105,64068.0,1.8417930948371903
1787026310278,64065.3,0.0105,64073.9,0.0105,64069.600000000006,1.3422902593427373
1787026310281,64065.3,0.0105,64076.9,0.0641,64071.100000000006,1.8104886602537718
1787026313467,64065.3,0.0105,64076.7,0.0105,64071.0,1.779276115558393
1787026313505,64062.1,0.0641,64076.7,0.0105,64069.399999999994,2.2787789490768677
1787026313506,64062.3,0.0003,64076.7,0.0105,64069.5,2.2475592910814317
1787026314259,64062.3,0.0003,64080.7,0.0105,64071.5,2.8717916702424913
1787026314260,64062.4,0.0105,64080.7,0.0105,64071.55,2.856181877915492
1787026314261,64062.6,0.0003,64080.7,0.0105,64071.649999999994,2.8249623663505696
1787026315281,64062.7,0.0105,64080.7,0.0105,64071.7,2.809352647112532
1787026315288,64066.0,0.0641,64080.7,0.0105,64073.35,2.2942455794799383
1787026318402,64066.2,0.0105,64080.7,0.0105,64073.45,2.2630278219761855
1787026321246,64073.6,0.0641,64080.8,0.0641,64077.2,1.123644603697472
1787026321247,64073.6,0.0641,64082.3,0.0001,64077.95,1.3577213378399848
1787026321248,64081.4,0.035,64082.3,0.0001,64081.850000000006,0.14044538352145813
1787026321249,64081.8,0.035,64082.3,0.0001,64082.05,0.07802496955075564
1787026321255,64073.8,0.0105,64082.3,0.0001,64078.05,1.3265072829151323
1787026321256,64073.8,0.0105,64084.4,0.0108,64079.100000000006,1.6542055053829632
1787026321259,64073.8,0.0105,64087.7,0.0105,64080.75,2.169138157714162
1787026321286,64074.0,0.0641,64087.7,0.0105,64080.85,2.137924200443204
1787026321302,64074.1,0.0105,64087.7,0.0105,64080.899999999994,2.1223172583404017
1787026321396,64074.1,0.0105,64087.6,0.0641,64080.85,2.1067136281744077
1787026321397,64074.1,0.0105,64087.4,0.0105,64080.75,2.075506294792572
1787026324083,64074.0,0.0641,64087.4,0.0105,64080.7,2.09111323690307
1787026324115,64070.8,0.0105,64087.4,0.0105,64079.100000000006,2.5905482442791086
1787026332698,64070.8,0.0105,64083.7,0.0641,64077.25,2.013195010708821
1787026332700,64070.8,0.0105,64083.2,0.0107,64077.0,1.9351717464915927
1787026333125,64068.7,0.0001,64083.2,0.0107,64075.95,2.2629395272329167
1787026333129,64062.7,0.0105,64083.2,0.0107,64072.95,3.1994780948902775
1787026333130,64062.6,0.0003,64083.2,0.0107,64072.899999999994,3.215087814036597
1787026333131,64062.6,0.0003,64079.8,0.0641,64071.2,2.6845134787555667
1787026333132,64062.9,0.0003,64079.8,0.0641,64071.350000000006,2.63768439403906
1787026333140,64062.9,0.0003,64075.9,0.0641,64069.4,2.0290497491782347
1787026333156,64062.9,0.0003,64073.3,0.0107,64068.100000000006,1.6232727363542
1787026333186,64063.2,0.0107,64075.9,0.0641,64069.55,1.9822208834000496
1787026336254,64063.3,0.0641,64075.9,0.0641,64069.600000000006,1.96661131019993
1787026338467,64063.4,0.0106,64075.9,0.0641,64069.65,1.9510017613643902
1787026338546,64063.4,0.0106,64076.6,0.0107,64070.0,2.0602466052750255
1787026341264,64063.4,0.0106,64083.2,0.0107,64073.3,3.0902107430077166
1787026341334,64067.2,0.0641,64083.2,0.0107,64075.2,2.497065947511674
1787026341391,64063.4,0.0106,64083.2,0.0107,64073.3,3.0902107430077166
1787026341392,64063.4,0.0106,64079.5,0.0641,64071.45,2.512819672412369
1787026341393,64063.5,0.0641,64076.3,0.0106,64069.9,1.9978180081446844
1787026347874,64062.9,0.0003,64076.3,0.0106,64069.600000000006,2.091475520371823
1787026347877,64063.0,0.0641,64076.3,0.0106,64069.65,2.075865874092165
1787026347887,64062.9,0.0003,64076.3,0.0106,64069.600000000006,2.091475520371823
1787026347890,64063.0,0.0641,64076.3,0.0106,64069.65,2.075865874092165
