ts,bid,bidq,ask,askq,mid,spread_bp
1787026335074,1892.03,0.172,1892.91,0.162,1892.47,4.650007661945019
1787026335075,1892.12,0.166,1892.91,0.162,1892.5149999999999,4.174339437204942
1787026341271,1892.14,1.576,1892.91,0.162,1892.525,4.068638459201235
1787026341273,1892.23,0.167,1892.91,0.162,1892.5700000000002,3.5929978811883503
1787026357105,1892.14,1.576,1892.91,0.162,1892.525,4.068638459201235
1787026357282,1892.15,0.166,1892.91,0.162,1892.5300000000002,4.015788389087575
1787026375517,1892.14,1.576,1892.91,0.162,1892.525,4.068638459201235
1787026375657,1892.14,1.576,1892.89,0.01,1892.515,3.9629804783581632
1787026375658,1892.14,1.576,1892.8,0.16,1892.47,3.4875057464575634
1787026377703,1892.15,0.16,1892.8,0.16,1892.475,3.4346556757677837
1787026412286,1892.15,0.16,1893.49,0.003,1892.8200000000002,7.079384199236684
1787026412340,1892.17,1.576,1893.49,0.003,1892.83,6.97368490567001
1787026412394,1892.4,0.01,1893.49,0.003,1892.9450000000002,5.758223297559718
1787026412429,1892.4,0.01,1893.52,0.161,1892.96,5.916659623023681
1787026412447,1892.4,0.01,1893.4,0.16,1892.9,5.282899255111205
1787026412450,1892.49,0.16,1893.4,0.16,1892.9450000000002,4.807324037413035
1787026412552,1892.51,0.01,1893.4,0.16,1892.955,4.701643726343733
1787026412595,1892.6,0.16,1893.4,0.16,1893.0,4.226096143688229
1787026412622,1892.6,0.16,1893.59,0.003,1893.0949999999998,5.229531534339318
1787026412623,1892.6,0.16,1893.72,0.166,1893.1599999999999,5.9160345665454495
1787026412626,1892.6,0.16,1893.9,0.166,1893.25,6.8664994057846656
1787026412628,1892.6,0.16,1893.89,0.47,1893.245,6.813698174299634
1787026412629,1892.6,0.16,1893.8,0.16,1893.1999999999998,6.338474540460837
1787026412781,1892.6,0.16,1893.9,0.166,1893.25,6.8664994057846656
1787026414220,1892.6,0.16,1893.9,0.176,1893.25,6.8664994057846656
1787026414221,1892.6,0.16,1893.81,0.16,1893.205,6.391278282066846
1787026414316,1892.6,0.16,1893.74,0.01,1893.17,6.021646233566453
1787026414318,1892.6,0.16,1893.65,0.16,1893.125,5.546384945527538
1787026414498,1892.6,0.16,1893.63,0.01,1893.115,5.4407682576082275
1787026414499,1892.6,0.16,1893.54,0.16,1893.07,4.965479353642784
1787026414674,1892.6,0.16,1893.52,0.01,1893.06,4.8598565285837365
