ts,bid,bidq,ask,askq,mid,spread_bp
1787026770144,64069.6,0.0641,64083.5,0.0106,64076.55,2.169280337346729
1787026770146,64070.3,0.0109,64083.5,0.0106,64076.9,2.06002475150906
1787026770175,64070.3,0.0109,64087.1,0.0108,64078.7,2.6217760347815475
1787026770618,64070.3,0.0109,64083.7,0.0641,64077.0,2.091233984111956
1787026770650,64070.3,0.0109,64083.6,0.0109,64076.95,2.0756293799869745
1787026799989,64066.4,0.0105,64083.6,0.0109,64075.0,2.684354272336651
1787026800331,64066.4,0.0105,64079.8,0.0641,64073.100000000006,2.0913612732958846
1787026800892,64066.4,0.0105,64079.4,0.0109,64072.9,2.028938911770811
1787026828390,64066.3,0.0003,64079.4,0.0109,64072.850000000006,2.044547729654377
1787026832562,64067.0,0.0641,64079.4,0.0109,64073.2,1.9352865160474981
1787026841384,64063.1,0.0641,64079.4,0.0109,64071.25,2.544042764891103
1787026841441,64067.0,0.0641,64079.4,0.0109,64073.2,1.9352865160474981
1787026844096,64061.3,0.0109,64079.4,0.0109,64070.350000000006,2.82501968539247
1787026844102,64063.0,0.0641,64079.4,0.0109,64071.2,2.5596523867200016
1787026844111,64061.3,0.0109,64079.4,0.0109,64070.350000000006,2.82501968539247
1787026844137,64063.0,0.0641,64079.4,0.0109,64071.2,2.5596523867200016
1787026855002,64063.0,0.0641,64075.7,0.0641,64069.35,1.9822270711341834
1787026855003,64063.0,0.0641,64075.0,0.0107,64069.0,1.872980692690693
1787026855281,64063.0,0.0641,64079.4,0.0109,64071.2,2.5596523867200016
1787026855282,64063.0,0.0641,64075.4,0.0641,64069.2,1.9354073408129735
1787026855283,64063.0,0.0641,64074.1,0.0107,64068.55,1.7325193093957245
1787026858306,64061.3,0.0109,64074.1,0.0107,64067.7,1.9978866105690753
1787026858343,64059.1,0.0641,64074.1,0.0107,64066.6,2.3413135705656303
1787026858345,64056.8,0.0001,64074.1,0.0107,64065.45,2.700363456433325
1787026858347,64058.2,0.0641,64074.1,0.0107,64066.149999999994,2.481809816884807
1787026858399,64058.3,0.0105,64074.1,0.0107,64066.2,2.466199025382438
1787026859064,64062.2,0.0641,64074.1,0.0107,64068.149999999994,1.8573971622407477
1787026866411,64062.2,0.0641,64073.5,0.0641,64067.85,1.7637551439611148
1787026866412,64062.2,0.0641,64073.2,0.0106,64067.7,1.7169338059583847
1787026870450,64058.3,0.0105,64073.2,0.0106,64065.75,2.3257356699943696
1787026870465,64058.3,0.0746,64073.2,0.0106,64065.75,2.3257356699943696
1787026870466,64060.0,0.0106,64073.2,0.0106,64066.6,2.0603559420973006
1787026889499,64062.4,0.0641,64079.4,0.0109,64070.9,2.653310629318458
1787026889504,64065.3,0.0108,64079.4,0.0109,64072.350000000006,2.200637248360415
1787026889509,64065.3,0.0108,64077.6,0.0641,64071.45,1.9197317994201215
1787026889573,64065.3,0.0108,64077.4,0.0108,64071.350000000006,1.8885195957317185
1787026902262,64065.3,0.0108,64077.6,0.0641,64071.45,1.9197317994201215
1787026902654,64065.3,0.0108,64069.7,0.0641,64067.5,0.6867756662885518
1787026902666,64065.3,0.0108,64073.6,0.0641,64069.45,1.2954692134856214
1787026902679,64060.0,0.0106,64073.6,0.0641,64066.8,2.1227843438408884
1787026902682,64058.5,0.0641,64073.6,0.0641,64066.05,2.356942561621724
1787026902683,64061.7,0.0108,64073.6,0.0641,64067.649999999994,1.857411657833783
1787026903002,64061.7,0.0108,64077.4,0.0108,64069.55,2.4504620369589554
1787026903190,64061.7,0.0108,64073.7,0.0641,64067.7,1.873018697409147
1787026907369,64061.7,0.0108,64077.6,0.0641,64069.649999999994,2.4816742404557317
1787026907374,64061.7,0.0108,64080.7,0.0108,64071.2,2.9654509358338847
1787026907380,64061.7,0.0108,64081.5,0.0641,64071.6,3.09029273500317
1787026907385,64062.4,0.0641,64081.5,0.0641,64071.95,2.9810236772875722
1787026907404,64065.6,0.0106,64081.5,0.0641,64073.55,2.481523187025138
1787026907416,64065.6,0.0106,64084.0,0.0001,64074.8,2.8716437663483076
1787026907417,64065.6,0.0106,64081.4,0.0641,64073.5,2.465918047243074
1787026907446,64065.6,0.0106,64087.1,0.0108,64076.35,3.3553721458853385
1787026907447,64065.6,0.0106,64082.2,0.0641,64073.899999999994,2.5907584835632833
1787026907522,64066.8,0.0641,64082.2,0.0641,64074.5,2.4034522313859927
1787026907523,64070.0,0.0106,64082.2,0.0641,64076.1,1.903986041596959
1787026920699,64070.0,0.0106,64087.1,0.0108,64078.55,2.6685997108234414
1787026920701,64070.0,0.0106,64084.9,0.0641,64077.45,2.3253110103478614
1787026920703,64070.0,0.0106,64091.5,0.0641,64080.75,3.3551417547391376
1787026920705,64070.0,0.0106,64085.6,0.0641,64077.8,2.434540511690249
1787026920719,64070.7,0.0641,64085.6,0.0641,64078.149999999994,2.3252856082769955
1787026920742,64070.7,0.0641,64091.5,0.0641,64081.1,3.2458868527542304
1787026920744,64070.7,0.0641,64087.3,0.0641,64079.0,2.590552287021617
1787026920748,64073.9,0.0105,64087.3,0.0641,64080.600000000006,2.091116500157841
1787026927370,64073.9,0.0105,64083.3,0.0641,64078.600000000006,1.4669484039915752
1787026927395,64070.0,0.0106,64083.3,0.0641,64076.65,2.0756390978621555
1787026937002,64070.7,0.0641,64083.3,0.0641,64077.0,1.9663841940174822
1787026937003,64073.9,0.0106,64083.3,0.0641,64078.600000000006,1.4669484039915752
1787026937662,64070.7,0.0641,64083.3,0.0641,64077.0,1.9663841940174822
1787026937663,64070.0,0.0106,64083.3,0.0641,64076.65,2.0756390978621555
1787026937665,64070.0,0.0106,64083.2,0.0106,64076.6,2.060034396331436
