ts,bid,bidq,ask,askq,mid,spread_bp
1787026766988,1891.3,0.164,1891.98,0.01,1891.6399999999999,3.594764331479899
1787026767054,1891.3,0.164,1891.98,0.172,1891.6399999999999,3.594764331479899
1787026767055,1891.3,0.164,1891.98,0.01,1891.6399999999999,3.594764331479899
1787026767519,1891.3,0.164,1891.98,0.172,1891.6399999999999,3.594764331479899
1787026767520,1891.3,0.164,1891.97,0.162,1891.635,3.5419095121419972
1787026781261,1891.3,1.74,1891.97,0.162,1891.635,3.5419095121419972
1787026781262,1891.39,0.165,1891.97,0.162,1891.68,3.066057684174529
1787026781283,1891.39,0.165,1892.1,0.162,1891.745,3.7531485480326845
1787026844094,1891.39,0.165,1892.1,0.172,1891.745,3.7531485480326845
1787026844098,1891.39,0.165,1892.01,0.163,1891.7,3.27747528677851
1787026844124,1891.3,0.164,1892.01,0.163,1891.655,3.7533271130308457
1787026844199,1891.3,0.164,1891.99,0.01,1891.645,3.6476188714058644
1787026844201,1891.3,0.164,1891.9,0.163,1891.6,3.1719179530563357
1787026876050,1891.28,0.369,1891.9,0.163,1891.5900000000001,3.277665878970169
1787026876378,1891.3,0.165,1891.9,0.163,1891.6,3.1719179530563357
1787026902261,1891.3,0.165,1891.99,0.01,1891.645,3.6476188714058644
1787026902428,1891.3,0.165,1891.99,0.173,1891.645,3.6476188714058644
1787026902429,1891.3,0.165,1891.98,0.163,1891.6399999999999,3.594764331479899
1787026902620,1891.3,0.165,1891.99,0.01,1891.645,3.6476188714058644
1787026902735,1891.3,0.165,1891.99,0.173,1891.645,3.6476188714058644
1787026902736,1891.3,0.165,1891.98,0.163,1891.6399999999999,3.594764331479899
1787026907367,1891.3,0.165,1891.99,0.01,1891.645,3.6476188714058644
1787026907368,1891.3,0.165,1892.1,0.162,1891.6999999999998,4.2290003700372925
1787026907381,1891.3,0.165,1892.76,0.01,1892.03,7.7165795468361305
1787026907411,1891.3,0.165,1892.67,0.163,1891.9850000000001,7.241072207232711
1787026907462,1891.3,0.165,1892.65,0.01,1891.975,7.135400837749635
1787026907463,1891.3,0.165,1892.56,0.163,1891.9299999999998,6.65986585127352
1787026907471,1891.48,0.369,1892.56,0.163,1892.02,5.708184902907618
1787026907500,1891.57,0.163,1892.56,0.163,1892.065,5.232378380235399
1787026907517,1891.57,0.163,1892.54,0.01,1892.0549999999998,5.126700862290089
1787026907521,1891.57,0.163,1892.45,0.163,1892.01,4.651138207515337
1787026907621,1891.57,0.163,1892.43,0.01,1892.0,4.545454545455218
1787026907622,1891.57,0.163,1892.34,0.163,1891.955,4.069864240957009
1787026908052,1891.57,0.163,1892.34,0.173,1891.955,4.069864240957009
1787026908053,1891.57,0.163,1892.29,0.163,1891.9299999999998,3.805637629299326
1787026920703,1891.57,0.163,1892.67,0.163,1892.12,5.813584762066552
1787026920709,1891.57,0.163,1892.65,0.01,1892.1100000000001,5.7079133877002635
1787026920724,1891.68,0.369,1892.65,0.01,1892.165,5.126402824278154
1787026920733,1891.68,0.369,1892.56,0.166,1892.12,4.6508678096520395
1787026920744,1891.77,0.166,1892.56,0.166,1892.165,4.175111578535506
1787026920854,1891.77,0.166,1892.54,0.01,1892.155,4.069434057991982
1787026920855,1891.77,0.166,1892.45,0.166,1892.1100000000001,3.593871392255543
1787026922808,1891.77,0.166,1892.67,0.163,1892.22,4.75631797571155
1787026923422,1891.77,0.166,1892.65,0.01,1892.21,4.650646598422528
1787026923423,1891.77,0.166,1892.56,0.166,1892.165,4.175111578535506
1787026923662,1891.77,0.166,1892.67,0.163,1892.22,4.75631797571155
1787026923664,1891.77,0.166,1893.18,0.163,1892.475,7.450560773590573
1787026923665,1891.77,0.166,1893.13,0.664,1892.45,7.186451425401608
1787026923666,1891.77,0.166,1893.04,0.166,1892.405,6.711037013746961
1787026923818,1891.77,0.166,1893.18,0.163,1892.475,7.450560773590573
1787026923819,1891.77,0.166,1893.13,0.663,1892.45,7.186451425401608
1787026923820,1891.77,0.166,1893.04,0.166,1892.405,6.711037013746961
1787026923971,1891.77,0.166,1893.18,0.163,1892.475,7.450560773590573
1787026923972,1891.77,0.166,1892.79,0.01,1892.28,5.390322785211395
1787026923973,1891.77,0.166,1892.7,0.166,1892.2350000000001,4.91482294746722
1787026923974,1891.77,0.166,1892.68,0.01,1892.225,4.809153245518276
1787026923976,1891.77,0.166,1892.59,0.166,1892.1799999999998,4.33362576499031
1787026937663,1891.77,0.166,1892.59,0.176,1892.1799999999998,4.33362576499031
1787026937664,1891.77,0.166,1892.5,0.161,1892.135,3.858075665848463
1787026938732,1891.77,0.166,1892.48,0.01,1892.125,3.7523947942130484
