ts,bid,bidq,ask,askq,mid,spread_bp
1787027272397,75.57,367.18,75.58,310.87,75.57499999999999,1.3231888852140414
1787027273729,75.57,367.18,75.58,304.26,75.57499999999999,1.3231888852140414
1787027273736,75.57,457.48,75.58,300.26,75.57499999999999,1.3231888852140414
1787027273738,75.57,457.48,75.58,274.73,75.57499999999999,1.3231888852140414
1787027273740,75.57,722.13,75.58,274.73,75.57499999999999,1.3231888852140414
1787027273741,75.57,722.13,75.58,274.73,75.57499999999999,1.3231888852140414
1787027273766,75.57,722.13,75.58,286.73,75.57499999999999,1.3231888852140414
1787027273767,75.57,722.13,75.58,274.73,75.57499999999999,1.3231888852140414
1787027273778,75.57,631.83,75.58,274.73,75.57499999999999,1.3231888852140414
1787027273791,75.57,367.18,75.58,274.73,75.57499999999999,1.3231888852140414
1787027273798,75.57,367.18,75.58,286.73,75.57499999999999,1.3231888852140414
1787027273869,75.57,631.83,75.58,286.73,75.57499999999999,1.3231888852140414
1787027273871,75.57,371.18,75.58,286.73,75.57499999999999,1.3231888852140414
1787027273873,75.57,370.96,75.58,286.73,75.57499999999999,1.3231888852140414
1787027273933,75.57,635.61,75.58,286.73,75.57499999999999,1.3231888852140414
1787027273939,75.57,635.83,75.58,286.73,75.57499999999999,1.3231888852140414
1787027273944,75.57,635.83,75.58,274.73,75.57499999999999,1.3231888852140414
1787027274094,75.57,635.83,75.58,272.73,75.57499999999999,1.3231888852140414
1787027274095,75.57,641.83,75.58,272.73,75.57499999999999,1.3231888852140414
1787027274096,75.57,649.33,75.58,272.73,75.57499999999999,1.3231888852140414
1787027274098,75.57,651.68,75.58,272.73,75.57499999999999,1.3231888852140414
1787027274102,75.57,652.68,75.58,132.93,75.57499999999999,1.3231888852140414
1787027274109,75.57,652.68,75.58,132.78,75.57499999999999,1.3231888852140414
1787027274110,75.57,652.68,75.58,132.68,75.57499999999999,1.3231888852140414
1787027274142,75.57,654.01,75.58,132.68,75.57499999999999,1.3231888852140414
1787027274195,75.57,654.01,75.58,132.38,75.57499999999999,1.3231888852140414
1787027274198,75.57,653.71,75.58,132.38,75.57499999999999,1.3231888852140414
1787027274208,75.57,653.62,75.58,132.38,75.57499999999999,1.3231888852140414
1787027274212,75.57,653.62,75.58,132.5,75.57499999999999,1.3231888852140414
1787027274400,75.57,654.21,75.58,132.5,75.57499999999999,1.3231888852140414
1787027274957,75.57,658.41,75.58,132.5,75.57499999999999,1.3231888852140414
1787027275351,75.57,658.41,75.58,277.26,75.57499999999999,1.3231888852140414
1787027275352,75.57,658.41,75.58,277.04,75.57499999999999,1.3231888852140414
1787027275353,75.57,658.41,75.58,277.26,75.57499999999999,1.3231888852140414
1787027275354,75.57,662.61,75.58,277.26,75.57499999999999,1.3231888852140414
1787027275893,75.57,662.61,75.58,277.14,75.57499999999999,1.3231888852140414
1787027275896,75.57,662.61,75.58,277.28,75.57499999999999,1.3231888852140414
1787027276110,75.57,662.61,75.58,271.91,75.57499999999999,1.3231888852140414
1787027277359,75.57,662.61,75.58,191.64,75.57499999999999,1.3231888852140414
1787027277362,75.57,662.61,75.58,169.58,75.57499999999999,1.3231888852140414
1787027277365,75.57,722.27,75.58,169.58,75.57499999999999,1.3231888852140414
1787027277366,75.57,722.27,75.58,24.82,75.57499999999999,1.3231888852140414
1787027277368,75.57,722.27,75.58,49.48,75.57499999999999,1.3231888852140414
1787027277377,75.57,722.27,75.58,49.26,75.57499999999999,1.3231888852140414
1787027277385,75.57,722.27,75.58,49.48,75.57499999999999,1.3231888852140414
1787027277425,75.57,722.27,75.58,42.86,75.57499999999999,1.3231888852140414
1787027277427,75.57,722.27,75.58,42.79,75.57499999999999,1.3231888852140414
1787027277429,75.57,722.38,75.58,42.79,75.57499999999999,1.3231888852140414
1787027277458,75.57,722.74,75.58,42.79,75.57499999999999,1.3231888852140414
1787027277712,75.57,742.74,75.58,42.79,75.57499999999999,1.3231888852140414
1787027277923,75.57,743.07,75.58,42.79,75.57499999999999,1.3231888852140414
1787027277924,75.57,743.07,75.58,18.13,75.57499999999999,1.3231888852140414
1787027277926,75.58,160.41,75.59,511.88,75.58500000000001,1.3230138254951531
1787027277927,75.58,240.18,75.59,511.88,75.58500000000001,1.3230138254951531
1787027277928,75.58,335.6,75.59,406.26,75.58500000000001,1.3230138254951531
1787027277929,75.58,349.49,75.59,406.19,75.58500000000001,1.3230138254951531
1787027277931,75.58,361.49,75.59,406.19,75.58500000000001,1.3230138254951531
1787027277932,75.58,351.76,75.59,406.19,75.58500000000001,1.3230138254951531
1787027277933,75.58,306.34,75.59,406.19,75.58500000000001,1.3230138254951531
1787027277937,75.58,306.34,75.59,306.19,75.58500000000001,1.3230138254951531
1787027277940,75.58,306.34,75.59,306.09,75.58500000000001,1.3230138254951531
1787027277957,75.58,252.1,75.59,306.09,75.58500000000001,1.3230138254951531
1787027278045,75.58,252.32,75.59,306.09,75.58500000000001,1.3230138254951531
1787027278062,75.58,252.68,75.59,306.09,75.58500000000001,1.3230138254951531
1787027278099,75.58,253.6,75.59,306.09,75.58500000000001,1.3230138254951531
1787027278150,75.58,256.02,75.59,306.09,75.58500000000001,1.3230138254951531
1787027278870,75.58,270.99,75.59,306.09,75.58500000000001,1.3230138254951531
1787027279099,75.58,270.07,75.59,306.09,75.58500000000001,1.3230138254951531
1787027279430,75.58,258.07,75.59,306.09,75.58500000000001,1.3230138254951531
1787027280744,75.58,250.57,75.59,306.09,75.58500000000001,1.3230138254951531
1787027280746,75.58,250.57,75.59,313.59,75.58500000000001,1.3230138254951531
