id,ts,price,qty,bm
125399530,1787027274094,75.58,2.0,False
125399531,1787027274195,75.58,0.3,False
125399532,1787027274198,75.57,0.3,True
125399533,1787027277425,75.58,6.62,False
125399534,1787027277926,75.58,18.13,False
125399535,1787027281000,75.59,0.2,False
125399536,1787027281933,75.59,2.0,False
125399537,1787027282640,75.59,37.94,False
125399538,1787027282641,75.6,409.87,False
125399539,1787027282642,75.61,4.0,False
125399540,1787027282647,75.6,1.32,True
125399541,1787027282647,75.61,0.69,False
125399542,1787027287463,75.6,0.99,True
125399543,1787027288795,75.61,0.3,False
125399544,1787027288799,75.6,0.3,True
125399545,1787027296384,75.6,0.1,True
125399546,1787027300378,75.6,115.41,True
125399547,1787027303398,75.6,0.3,False
125399548,1787027303401,75.59,0.3,True
125399549,1787027306007,75.59,0.1,True
125399550,1787027310778,75.59,2.65,True
125399551,1787027317987,75.6,0.3,False
125399552,1787027317990,75.59,0.3,True
125399553,1787027331056,75.6,82.0,False
125399554,1787027331399,75.61,0.61,False
125399555,1787027332593,75.61,0.3,False
125399556,1787027332596,75.6,0.3,True
125399557,1787027336553,75.61,16.84,False
125399558,1787027347195,75.62,0.3,False
125399559,1787027347199,75.61,0.3,True
125399560,1787027358653,75.61,0.02,True
125399561,1787027361806,75.62,0.3,False
125399562,1787027361810,75.61,0.3,True
125399563,1787027364076,75.62,61.0,False
125399564,1787027368329,75.62,0.35,False
125399565,1787027372991,75.63,0.09,False
125399566,1787027373052,75.62,19.89,True
125399567,1787027376397,75.63,0.3,False
125399568,1787027376400,75.62,0.3,True
125399569,1787027377232,75.62,647.04,True
125399570,1787027391003,75.62,0.3,False
125399571,1787027391006,75.61,0.3,True
