symbol,lat_ms,cancel_credit,filter,maker_fills,quote_attempts,maker_volume_usd,maker_volume_per_min,liquidation_share,net_pnl_usd,net_bp_per_volume,mean_mark1_bp,max_inventory_usd
SOLUSDC,10,0.0,none,0,16,0.0,0.0,,0.0,,,0.0
SOLUSDC,10,0.0,weak,0,45,0.0,0.0,,0.0,,,0.0
SOLUSDC,10,0.25,none,0,16,0.0,0.0,,0.0,,,0.0
SOLUSDC,10,0.25,weak,0,45,0.0,0.0,,0.0,,,0.0
SOLUSDC,10,0.5,none,0,16,0.0,0.0,,0.0,,,0.0
SOLUSDC,10,0.5,weak,0,45,0.0,0.0,,0.0,,,0.0
SOLUSDC,10,1.0,none,1,10,70.0,36.39136311648702,0.5000991997883738,-0.05579256515412385,-3.9843925666294004,-1.9843894695047437,70.0324116946686
SOLUSDC,10,1.0,weak,0,45,0.0,0.0,,0.0,,,0.0
SOLUSDC,240,0.0,none,0,18,0.0,0.0,,0.0,,,0.0
SOLUSDC,240,0.0,weak,0,52,0.0,0.0,,0.0,,,0.0
SOLUSDC,240,0.25,none,0,18,0.0,0.0,,0.0,,,0.0
SOLUSDC,240,0.25,weak,0,52,0.0,0.0,,0.0,,,0.0
SOLUSDC,240,0.5,none,0,18,0.0,0.0,,0.0,,,0.0
SOLUSDC,240,0.5,weak,0,52,0.0,0.0,,0.0,,,0.0
SOLUSDC,240,1.0,none,1,11,70.0,36.39136311648702,0.5000991997883738,-0.05579256515412385,-3.9843925666294004,-1.9843894695047437,70.0324116946686
SOLUSDC,240,1.0,weak,0,52,0.0,0.0,,0.0,,,0.0
XRPUSDC,10,0.0,none,0,22,0.0,0.0,,0.0,,,0.0
XRPUSDC,10,0.0,weak,0,62,0.0,0.0,,0.0,,,0.0
XRPUSDC,10,0.25,none,0,22,0.0,0.0,,0.0,,,0.0
XRPUSDC,10,0.25,weak,0,62,0.0,0.0,,0.0,,,0.0
XRPUSDC,10,0.5,none,1,18,70.0,41.41072537787287,0.5001008369466573,-0.05625133635904511,-4.017142280931246,0.5042864346959709,70.02471003530005
XRPUSDC,10,0.5,weak,0,62,0.0,0.0,,0.0,,,0.0
XRPUSDC,10,1.0,none,2,21,140.0,82.82145075574574,0.00010086745195148891,-0.01412851695802314,-1.009077989322695,0.5042355839910957,70.01765002521432
XRPUSDC,10,1.0,weak,1,59,70.0,41.41072537787287,0.5000252079657171,-0.020944237168508198,-1.4959415175202262,0.5041847332862206,70.01058787939901
XRPUSDC,240,0.0,none,0,22,0.0,0.0,,0.0,,,0.0
XRPUSDC,240,0.0,weak,0,71,0.0,0.0,,0.0,,,0.0
XRPUSDC,240,0.25,none,0,22,0.0,0.0,,0.0,,,0.0
XRPUSDC,240,0.25,weak,0,71,0.0,0.0,,0.0,,,0.0
XRPUSDC,240,0.5,none,1,18,70.0,41.41072537787287,0.5001008369466573,-0.05625133635904511,-4.017142280931246,0.5042864346959709,70.02471003530005
XRPUSDC,240,0.5,weak,0,71,0.0,0.0,,0.0,,,0.0
XRPUSDC,240,1.0,none,2,21,140.0,82.82145075574574,0.00010086745195148891,-0.01412851695802314,-1.009077989322695,0.5042355839910957,70.01765002521432
XRPUSDC,240,1.0,weak,1,68,70.0,41.41072537787287,0.5000252079657171,-0.020944237168508198,-1.4959415175202262,0.5041847332862206,70.01058787939901
