ts,bid,bidq,ask,askq,mid,spread_bp
1787026497142,64063.6,0.775,64063.7,3.099,64063.649999999994,0.015609475888205687
1787026497144,64063.6,0.773,64063.7,3.099,64063.649999999994,0.015609475888205687
1787026497145,64063.6,0.775,64063.7,3.099,64063.649999999994,0.015609475888205687
1787026497147,64063.6,0.571,64063.7,3.454,64063.649999999994,0.015609475888205687
1787026497148,64063.6,0.571,64063.7,3.454,64063.649999999994,0.015609475888205687
1787026497374,64063.6,0.823,64063.7,3.454,64063.649999999994,0.015609475888205687
1787026497442,64063.6,0.823,64063.7,3.099,64063.649999999994,0.015609475888205687
1787026497524,64063.6,0.823,64063.7,3.493,64063.649999999994,0.015609475888205687
1787026497648,64063.6,0.571,64063.7,3.493,64063.649999999994,0.015609475888205687
1787026498230,64063.6,0.776,64063.7,3.493,64063.649999999994,0.015609475888205687
1787026498231,64063.6,0.774,64063.7,3.493,64063.649999999994,0.015609475888205687
1787026498232,64063.6,0.776,64063.7,3.493,64063.649999999994,0.015609475888205687
1787026498508,64063.6,0.776,64063.7,3.5,64063.649999999994,0.015609475888205687
1787026498540,64063.6,0.776,64063.7,3.106,64063.649999999994,0.015609475888205687
1787026498888,64063.6,0.776,64063.7,3.444,64063.649999999994,0.015609475888205687
1787026498937,64063.6,0.571,64063.7,3.444,64063.649999999994,0.015609475888205687
1787026499467,64063.6,0.571,64063.7,3.436,64063.649999999994,0.015609475888205687
1787026499470,64063.6,0.571,64063.7,3.442,64063.649999999994,0.015609475888205687
1787026500287,64063.6,0.602,64063.7,3.442,64063.649999999994,0.015609475888205687
1787026500479,64063.6,0.602,64063.7,3.436,64063.649999999994,0.015609475888205687
1787026500484,64063.6,0.602,64063.7,3.443,64063.649999999994,0.015609475888205687
1787026500487,64063.6,0.602,64063.7,3.446,64063.649999999994,0.015609475888205687
1787026500541,64063.6,0.602,64063.7,3.443,64063.649999999994,0.015609475888205687
1787026501071,64063.6,0.605,64063.7,3.443,64063.649999999994,0.015609475888205687
1787026501549,64063.6,0.605,64063.7,3.448,64063.649999999994,0.015609475888205687
1787026503503,64063.6,0.834,64063.7,3.448,64063.649999999994,0.015609475888205687
1787026503526,64063.6,0.834,64063.7,3.11,64063.649999999994,0.015609475888205687
1787026503666,64063.6,0.834,64063.7,3.472,64063.649999999994,0.015609475888205687
1787026503667,64063.6,0.605,64063.7,3.472,64063.649999999994,0.015609475888205687
1787026503734,64063.6,0.831,64063.7,3.472,64063.649999999994,0.015609475888205687
1787026503736,64063.6,0.829,64063.7,3.472,64063.649999999994,0.015609475888205687
1787026503737,64063.6,0.851,64063.7,3.472,64063.649999999994,0.015609475888205687
1787026503739,64063.6,0.625,64063.7,3.472,64063.649999999994,0.015609475888205687
1787026503839,64063.6,0.871,64063.7,3.472,64063.649999999994,0.015609475888205687
1787026503867,64063.6,0.871,64063.7,3.11,64063.649999999994,0.015609475888205687
1787026503872,64063.6,0.871,64063.7,3.506,64063.649999999994,0.015609475888205687
1787026503912,64063.6,0.871,64063.7,3.11,64063.649999999994,0.015609475888205687
1787026504083,64063.6,0.871,64063.7,3.509,64063.649999999994,0.015609475888205687
1787026504084,64063.6,0.871,64063.7,3.508,64063.649999999994,0.015609475888205687
1787026504085,64063.6,0.871,64063.7,3.111,64063.649999999994,0.015609475888205687
1787026504129,64063.6,0.871,64063.7,3.455,64063.649999999994,0.015609475888205687
1787026504227,64063.6,0.625,64063.7,3.455,64063.649999999994,0.015609475888205687
1787026504509,64063.6,0.625,64063.7,3.46,64063.649999999994,0.015609475888205687
1787026504833,64063.6,0.617,64063.7,3.46,64063.649999999994,0.015609475888205687
1787026505428,64063.6,0.617,64063.7,3.56,64063.649999999994,0.015609475888205687
1787026506293,64063.6,0.586,64063.7,3.56,64063.649999999994,0.015609475888205687
1787026506298,64063.6,0.617,64063.7,3.56,64063.649999999994,0.015609475888205687
1787026506567,64063.6,0.617,64063.7,3.563,64063.649999999994,0.015609475888205687
1787026506598,64063.6,0.617,64063.7,3.56,64063.649999999994,0.015609475888205687
1787026506959,64063.6,0.717,64063.7,2.744,64063.649999999994,0.015609475888205687
1787026506960,64063.6,2.285,64063.7,1.034,64063.649999999994,0.015609475888205687
1787026506961,64064.2,0.225,64065.0,0.003,64064.6,0.12487395535177155
1787026506963,64065.0,1.345,64065.1,0.275,64065.05,0.015609134777627553
1787026506964,64066.5,0.585,64066.6,0.95,64066.55,0.015608769318551539
1787026506965,64066.5,1.468,64066.6,1.033,64066.55,0.015608769318551539
1787026506966,64066.5,3.788,64066.6,2.361,64066.55,0.015608769318551539
1787026506967,64066.5,5.146,64066.6,2.965,64066.55,0.015608769318551539
1787026506968,64066.5,5.708,64066.6,2.52,64066.55,0.015608769318551539
1787026506969,64066.5,3.973,64066.6,2.52,64066.55,0.015608769318551539
1787026506970,64066.5,2.827,64066.6,3.304,64066.55,0.015608769318551539
1787026506971,64066.5,2.239,64066.6,3.831,64066.55,0.015608769318551539
1787026506972,64066.5,1.658,64066.6,2.29,64066.55,0.015608769318551539
1787026506973,64066.5,1.67,64066.6,2.29,64066.55,0.015608769318551539
1787026506974,64066.5,1.038,64066.6,2.29,64066.55,0.015608769318551539
1787026506975,64066.5,0.992,64066.6,2.29,64066.55,0.015608769318551539
1787026506976,64066.5,1.242,64066.6,2.29,64066.55,0.015608769318551539
1787026506977,64066.5,1.038,64066.6,2.29,64066.55,0.015608769318551539
1787026506978,64066.5,0.935,64066.6,2.337,64066.55,0.015608769318551539
1787026506980,64066.5,0.935,64066.6,3.198,64066.55,0.015608769318551539
1787026506981,64066.5,0.925,64066.6,3.198,64066.55,0.015608769318551539
1787026506985,64066.5,0.935,64066.6,3.198,64066.55,0.015608769318551539
1787026506995,64066.5,0.595,64066.6,3.198,64066.55,0.015608769318551539
1787026506996,64066.5,0.585,64066.6,3.198,64066.55,0.015608769318551539
1787026507010,64066.5,0.559,64066.6,3.291,64066.55,0.015608769318551539
1787026507011,64066.5,0.559,64066.6,3.298,64066.55,0.015608769318551539
1787026507026,64066.5,0.559,64066.6,3.299,64066.55,0.015608769318551539
1787026507037,64066.5,0.549,64066.6,3.299,64066.55,0.015608769318551539
1787026507053,64066.5,0.551,64066.6,3.301,64066.55,0.015608769318551539
1787026507264,64066.5,0.546,64066.6,3.301,64066.55,0.015608769318551539
1787026507267,64066.5,0.546,64066.7,1.0,64066.6,0.031217514273754125
1787026507268,64066.6,2.726,64066.7,1.0,64066.649999999994,0.015608744955221604
1787026507269,64066.6,7.637,64066.7,3.171,64066.649999999994,0.015608744955221604
1787026507270,64066.6,4.406,64066.7,3.178,64066.649999999994,0.015608744955221604
1787026507271,64066.6,3.846,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507276,64066.6,3.846,64066.7,3.092,64066.649999999994,0.015608744955221604
1787026507281,64066.6,3.846,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507282,64066.6,2.802,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507283,64066.6,2.764,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507284,64066.6,2.72,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507285,64066.6,2.684,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507286,64066.6,2.412,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507287,64066.6,2.422,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507303,64066.6,2.279,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507304,64066.6,1.223,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507305,64066.6,1.123,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507306,64066.6,1.364,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507307,64066.6,1.374,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507310,64066.6,1.364,64066.7,3.091,64066.649999999994,0.015608744955221604
1787026507339,64066.6,1.312,64066.7,3.093,64066.649999999994,0.015608744955221604
1787026507432,64066.6,1.071,64066.7,3.093,64066.649999999994,0.015608744955221604
1787026507440,64066.6,1.071,64066.7,3.1,64066.649999999994,0.015608744955221604
1787026507509,64066.6,1.071,64066.7,3.11,64066.649999999994,0.015608744955221604
1787026507771,64066.6,1.071,64066.7,3.103,64066.649999999994,0.015608744955221604
1787026507962,64066.6,1.061,64066.7,3.103,64066.649999999994,0.015608744955221604
1787026507970,64066.6,1.061,64066.7,3.147,64066.649999999994,0.015608744955221604
1787026508257,64066.6,1.056,64066.7,3.147,64066.649999999994,0.015608744955221604
1787026508493,64066.6,0.522,64066.7,3.147,64066.649999999994,0.015608744955221604
1787026508495,64066.6,0.522,64066.7,3.902,64066.649999999994,0.015608744955221604
1787026509257,64066.6,0.517,64066.7,3.902,64066.649999999994,0.015608744955221604
1787026510258,64066.6,0.512,64066.7,3.902,64066.649999999994,0.015608744955221604
1787026510507,64066.6,0.512,64066.7,3.911,64066.649999999994,0.015608744955221604
1787026510962,64066.6,0.512,64066.7,3.917,64066.649999999994,0.015608744955221604
1787026511181,64066.6,0.512,64066.7,3.911,64066.649999999994,0.015608744955221604
1787026511258,64066.6,0.507,64066.7,3.911,64066.649999999994,0.015608744955221604
1787026511626,64066.6,0.002,64066.7,3.911,64066.649999999994,0.015608744955221604
1787026511627,64064.2,0.001,64064.3,0.356,64064.25,0.015609329697268097
1787026511628,64064.2,0.001,64064.3,1.305,64064.25,0.015609329697268097
1787026511629,64064.2,2.243,64064.3,9.568,64064.25,0.015609329697268097
1787026511630,64064.2,2.253,64064.3,4.186,64064.25,0.015609329697268097
1787026511631,64064.2,2.253,64064.3,2.688,64064.25,0.015609329697268097
1787026511632,64064.2,1.99,64064.3,2.688,64064.25,0.015609329697268097
1787026511633,64064.2,2.0,64064.3,2.688,64064.25,0.015609329697268097
1787026511652,64064.2,1.99,64064.3,2.688,64064.25,0.015609329697268097
1787026511670,64064.2,2.0,64064.3,2.688,64064.25,0.015609329697268097
1787026511694,64064.2,2.0,64064.3,2.313,64064.25,0.015609329697268097
1787026511695,64064.2,1.99,64064.3,1.926,64064.25,0.015609329697268097
1787026511696,64064.2,1.99,64064.3,1.826,64064.25,0.015609329697268097
1787026511734,64064.2,1.992,64064.3,1.828,64064.25,0.015609329697268097
1787026511874,64064.2,1.992,64064.3,1.818,64064.25,0.015609329697268097
1787026512258,64064.2,1.987,64064.3,1.818,64064.25,0.015609329697268097
1787026512309,64064.2,2.018,64064.3,1.818,64064.25,0.015609329697268097
1787026512480,64064.2,2.018,64064.3,1.824,64064.25,0.015609329697268097
1787026512875,64064.2,2.021,64064.3,1.824,64064.25,0.015609329697268097
1787026512876,64064.2,2.018,64064.3,1.824,64064.25,0.015609329697268097
1787026512878,64064.2,2.018,64064.3,1.807,64064.25,0.015609329697268097
1787026513021,64064.2,2.329,64064.3,1.807,64064.25,0.015609329697268097
1787026513257,64064.2,2.324,64064.3,1.807,64064.25,0.015609329697268097
1787026513508,64064.2,2.324,64064.3,1.818,64064.25,0.015609329697268097
1787026513890,64064.2,2.324,64064.3,1.675,64064.25,0.015609329697268097
1787026513946,64064.2,2.324,64064.3,1.588,64064.25,0.015609329697268097
1787026513948,64064.2,2.324,64064.3,1.316,64064.25,0.015609329697268097
1787026513949,64064.2,2.324,64064.3,1.306,64064.25,0.015609329697268097
1787026514174,64064.2,2.324,64064.3,0.25,64064.25,0.015609329697268097
1787026514175,64064.2,3.257,64064.3,0.25,64064.25,0.015609329697268097
1787026514257,64064.2,3.252,64064.3,0.25,64064.25,0.015609329697268097
