ts,bid,bidq,ask,askq,mid,spread_bp
1787026497125,1892.49,44.031,1892.5,38.935,1892.495,0.05284029812491397
1787026497146,1892.49,44.081,1892.5,38.935,1892.495,0.05284029812491397
1787026497200,1892.49,44.081,1892.5,38.246,1892.495,0.05284029812491397
1787026497203,1892.49,44.081,1892.5,38.934,1892.495,0.05284029812491397
1787026497848,1892.49,46.723,1892.5,38.934,1892.495,0.05284029812491397
1787026498144,1892.49,46.773,1892.5,38.934,1892.495,0.05284029812491397
1787026498210,1892.49,46.773,1892.5,38.246,1892.495,0.05284029812491397
1787026498214,1892.49,46.773,1892.5,39.002,1892.495,0.05284029812491397
1787026498325,1892.49,46.762,1892.5,39.002,1892.495,0.05284029812491397
1787026498482,1892.49,46.762,1892.5,36.1,1892.495,0.05284029812491397
1787026498507,1892.49,46.762,1892.5,36.294,1892.495,0.05284029812491397
1787026498508,1892.49,46.762,1892.5,36.278,1892.495,0.05284029812491397
1787026498509,1892.49,46.762,1892.5,36.294,1892.495,0.05284029812491397
1787026498533,1892.49,46.762,1892.5,25.019,1892.495,0.05284029812491397
1787026498534,1892.49,46.762,1892.5,20.661,1892.495,0.05284029812491397
1787026498556,1892.49,44.12,1892.5,20.661,1892.495,0.05284029812491397
1787026499229,1892.49,44.12,1892.5,19.905,1892.495,0.05284029812491397
1787026499232,1892.49,44.12,1892.5,20.638,1892.495,0.05284029812491397
1787026499848,1892.49,46.762,1892.5,20.638,1892.495,0.05284029812491397
1787026500144,1892.49,46.812,1892.5,20.638,1892.495,0.05284029812491397
1787026500146,1892.49,46.812,1892.5,22.54,1892.495,0.05284029812491397
1787026500237,1892.49,46.812,1892.5,21.807,1892.495,0.05284029812491397
1787026500240,1892.49,46.812,1892.5,22.555,1892.495,0.05284029812491397
1787026500555,1892.49,46.812,1892.5,22.583,1892.495,0.05284029812491397
1787026500739,1892.49,44.17,1892.5,22.583,1892.495,0.05284029812491397
1787026500987,1892.49,44.308,1892.5,22.583,1892.495,0.05284029812491397
1787026501014,1892.49,44.308,1892.5,20.681,1892.495,0.05284029812491397
1787026501072,1892.49,44.308,1892.5,20.898,1892.495,0.05284029812491397
1787026501539,1892.49,44.308,1892.5,21.065,1892.495,0.05284029812491397
1787026502400,1892.49,44.308,1892.5,20.317,1892.495,0.05284029812491397
1787026502404,1892.49,44.308,1892.5,21.066,1892.495,0.05284029812491397
1787026502459,1892.49,44.308,1892.5,38.448,1892.495,0.05284029812491397
1787026502461,1892.49,44.308,1892.5,40.35,1892.495,0.05284029812491397
1787026503066,1892.49,44.321,1892.5,40.35,1892.495,0.05284029812491397
1787026503126,1892.49,44.321,1892.5,38.448,1892.495,0.05284029812491397
1787026503499,1892.49,44.321,1892.5,38.382,1892.495,0.05284029812491397
1787026503549,1892.49,44.321,1892.5,21.0,1892.495,0.05284029812491397
1787026503557,1892.49,46.963,1892.5,21.0,1892.495,0.05284029812491397
1787026503559,1892.49,49.865,1892.5,21.0,1892.495,0.05284029812491397
1787026503560,1892.49,50.079,1892.5,21.0,1892.495,0.05284029812491397
1787026503667,1892.49,50.079,1892.5,4.64,1892.495,0.05284029812491397
1787026503668,1892.49,49.865,1892.5,3.659,1892.495,0.05284029812491397
1787026503669,1892.49,49.865,1892.5,3.643,1892.495,0.05284029812491397
