ts,bid,bidq,ask,askq,mid,spread_bp
1787026497150,75.57,60.56,75.58,541.67,75.57499999999999,1.3231888852140414
1787026497153,75.57,60.56,75.58,545.3,75.57499999999999,1.3231888852140414
1787026498164,75.57,60.56,75.58,541.67,75.57499999999999,1.3231888852140414
1787026498167,75.57,60.56,75.58,545.32,75.57499999999999,1.3231888852140414
1787026498308,75.57,63.94,75.58,545.32,75.57499999999999,1.3231888852140414
1787026499080,75.57,62.94,75.58,545.32,75.57499999999999,1.3231888852140414
1787026499082,75.57,63.94,75.58,545.32,75.57499999999999,1.3231888852140414
1787026499086,75.57,63.94,75.58,541.67,75.57499999999999,1.3231888852140414
1787026499090,75.57,63.94,75.58,545.81,75.57499999999999,1.3231888852140414
1787026499211,75.57,63.94,75.58,523.58,75.57499999999999,1.3231888852140414
1787026499437,75.57,61.6,75.58,523.58,75.57499999999999,1.3231888852140414
1787026499441,75.57,60.28,75.58,523.58,75.57499999999999,1.3231888852140414
1787026500146,75.57,60.28,75.58,523.28,75.57499999999999,1.3231888852140414
1787026500149,75.57,59.98,75.58,519.14,75.57499999999999,1.3231888852140414
1787026500152,75.57,59.98,75.58,523.41,75.57499999999999,1.3231888852140414
1787026500591,75.57,59.91,75.58,523.41,75.57499999999999,1.3231888852140414
1787026500593,75.57,59.98,75.58,523.41,75.57499999999999,1.3231888852140414
1787026501098,75.57,62.28,75.58,523.41,75.57499999999999,1.3231888852140414
1787026502097,75.57,59.98,75.58,523.41,75.57499999999999,1.3231888852140414
1787026502264,75.57,59.98,75.58,523.55,75.57499999999999,1.3231888852140414
1787026503227,75.57,153.46,75.58,523.55,75.57499999999999,1.3231888852140414
1787026503228,75.57,305.72,75.58,523.55,75.57499999999999,1.3231888852140414
1787026503531,75.57,305.72,75.58,516.05,75.57499999999999,1.3231888852140414
1787026504350,75.57,305.72,75.58,516.12,75.57499999999999,1.3231888852140414
1787026504372,75.57,305.72,75.58,523.62,75.57499999999999,1.3231888852140414
1787026504413,75.57,305.72,75.58,519.35,75.57499999999999,1.3231888852140414
1787026504418,75.57,305.72,75.58,523.63,75.57499999999999,1.3231888852140414
1787026505165,75.57,305.72,75.58,522.42,75.57499999999999,1.3231888852140414
1787026505190,75.57,305.72,75.58,507.24,75.57499999999999,1.3231888852140414
1787026505301,75.57,305.72,75.58,447.78,75.57499999999999,1.3231888852140414
1787026505903,75.57,307.13,75.58,447.78,75.57499999999999,1.3231888852140414
1787026505904,75.57,306.91,75.58,447.78,75.57499999999999,1.3231888852140414
1787026505905,75.57,307.13,75.58,447.78,75.57499999999999,1.3231888852140414
1787026506070,75.57,307.13,75.58,458.58,75.57499999999999,1.3231888852140414
1787026506091,75.57,307.13,75.58,473.76,75.57499999999999,1.3231888852140414
1787026506240,75.57,307.13,75.58,473.84,75.57499999999999,1.3231888852140414
1787026506310,75.57,307.13,75.58,474.01,75.57499999999999,1.3231888852140414
