ts,bid,bidq,ask,askq,mid,spread_bp
1787026800029,64061.6,0.598,64061.7,1.942,64061.649999999994,0.01560996321489453
1787026800454,64061.6,0.599,64061.7,1.942,64061.649999999994,0.01560996321489453
1787026800455,64061.6,0.079,64061.7,1.942,64061.649999999994,0.01560996321489453
1787026800458,64061.6,0.079,64061.7,2.073,64061.649999999994,0.01560996321489453
1787026800519,64061.6,0.073,64061.7,2.073,64061.649999999994,0.01560996321489453
1787026800549,64061.6,0.073,64061.7,2.068,64061.649999999994,0.01560996321489453
1787026800553,64061.6,0.073,64061.7,2.058,64061.649999999994,0.01560996321489453
1787026800555,64061.6,0.075,64061.7,2.058,64061.649999999994,0.01560996321489453
1787026800661,64061.6,0.074,64061.7,2.058,64061.649999999994,0.01560996321489453
1787026800891,64059.3,0.742,64059.4,0.962,64059.350000000006,0.015610523678205415
1787026800892,64059.3,0.002,64059.4,2.557,64059.350000000006,0.015610523678205415
1787026800893,64059.3,0.792,64059.4,8.399,64059.350000000006,0.015610523678205415
1787026800894,64059.3,0.037,64059.4,3.801,64059.350000000006,0.015610523678205415
1787026800902,64059.3,0.037,64059.4,3.798,64059.350000000006,0.015610523678205415
1787026800903,64059.3,0.557,64059.4,3.798,64059.350000000006,0.015610523678205415
1787026800904,64059.3,0.587,64059.4,3.798,64059.350000000006,0.015610523678205415
1787026800927,64059.3,0.587,64059.4,3.832,64059.350000000006,0.015610523678205415
1787026800936,64059.3,0.587,64059.4,3.925,64059.350000000006,0.015610523678205415
1787026801001,64059.3,0.589,64059.4,3.927,64059.350000000006,0.015610523678205415
1787026801046,64059.3,1.645,64059.4,3.927,64059.350000000006,0.015610523678205415
1787026801047,64059.3,1.643,64059.4,3.927,64059.350000000006,0.015610523678205415
1787026801082,64059.3,0.587,64059.4,3.927,64059.350000000006,0.015610523678205415
1787026801104,64059.3,0.589,64059.4,3.927,64059.350000000006,0.015610523678205415
1787026801531,64059.3,0.589,64059.4,3.928,64059.350000000006,0.015610523678205415
1787026801613,64059.3,0.589,64059.4,4.428,64059.350000000006,0.015610523678205415
1787026801681,64059.3,0.597,64059.4,4.428,64059.350000000006,0.015610523678205415
1787026801933,64059.3,0.74,64059.4,4.428,64059.350000000006,0.015610523678205415
1787026802185,64059.3,0.703,64059.4,4.428,64059.350000000006,0.015610523678205415
1787026803253,64059.3,0.703,64059.4,3.714,64059.350000000006,0.015610523678205415
1787026803724,64059.3,0.56,64059.4,3.714,64059.350000000006,0.015610523678205415
1787026804561,64059.3,0.56,64059.4,3.716,64059.350000000006,0.015610523678205415
1787026806457,64059.3,0.04,64059.4,3.716,64059.350000000006,0.015610523678205415
1787026806458,64059.3,0.038,64059.4,3.716,64059.350000000006,0.015610523678205415
1787026806474,64058.6,0.622,64058.7,0.283,64058.649999999994,0.015610694261984108
1787026806475,64058.6,0.622,64058.7,3.103,64058.649999999994,0.015610694261984108
1787026806476,64058.6,0.629,64058.7,12.542,64058.649999999994,0.015610694261984108
1787026806477,64058.6,0.629,64058.7,6.894,64058.649999999994,0.015610694261984108
1787026806478,64058.6,0.629,64058.7,6.565,64058.649999999994,0.015610694261984108
1787026806483,64058.6,0.631,64058.7,6.567,64058.649999999994,0.015610694261984108
1787026806556,64058.6,0.631,64058.7,6.601,64058.649999999994,0.015610694261984108
1787026806614,64058.6,0.631,64058.7,7.101,64058.649999999994,0.015610694261984108
1787026806902,64058.6,0.637,64058.7,7.101,64058.649999999994,0.015610694261984108
1787026807509,64058.6,0.637,64058.7,7.102,64058.649999999994,0.015610694261984108
1787026808777,64058.6,0.909,64058.7,7.102,64058.649999999994,0.015610694261984108
1787026808778,64058.6,1.429,64058.7,7.102,64058.649999999994,0.015610694261984108
1787026808779,64058.6,1.429,64058.7,7.057,64058.649999999994,0.015610694261984108
1787026808780,64058.6,1.572,64058.7,7.057,64058.649999999994,0.015610694261984108
1787026808781,64058.6,1.572,64058.7,7.03,64058.649999999994,0.015610694261984108
1787026808788,64058.6,1.572,64058.7,6.321,64058.649999999994,0.015610694261984108
1787026809075,64058.6,2.628,64058.7,6.321,64058.649999999994,0.015610694261984108
1787026809077,64058.6,2.628,64058.7,5.987,64058.649999999994,0.015610694261984108
1787026809627,64058.6,1.572,64058.7,5.987,64058.649999999994,0.015610694261984108
1787026809628,64058.6,1.572,64058.7,5.987,64058.649999999994,0.015610694261984108
1787026809661,64058.6,1.572,64058.7,5.989,64058.649999999994,0.015610694261984108
1787026809804,64058.6,1.572,64058.7,5.275,64058.649999999994,0.015610694261984108
1787026810117,64058.6,1.566,64058.7,5.275,64058.649999999994,0.015610694261984108
1787026811141,64058.6,1.423,64058.7,5.275,64058.649999999994,0.015610694261984108
1787026812085,64058.6,0.631,64058.7,5.275,64058.649999999994,0.015610694261984108
1787026812422,64058.6,0.631,64058.7,5.241,64058.649999999994,0.015610694261984108
1787026812425,64058.6,0.631,64058.7,5.283,64058.649999999994,0.015610694261984108
1787026812816,64058.6,0.632,64058.7,5.283,64058.649999999994,0.015610694261984108
1787026813467,64058.6,0.632,64058.7,5.282,64058.649999999994,0.015610694261984108
1787026813811,64058.6,0.631,64058.7,5.282,64058.649999999994,0.015610694261984108
1787026816373,64058.6,0.774,64058.7,5.282,64058.649999999994,0.015610694261984108
1787026816377,64058.6,0.776,64058.7,5.282,64058.649999999994,0.015610694261984108
1787026817224,64058.6,0.776,64058.7,4.507,64058.649999999994,0.015610694261984108
1787026820871,64058.6,0.633,64058.7,4.507,64058.649999999994,0.015610694261984108
1787026822550,64058.6,0.776,64058.7,4.507,64058.649999999994,0.015610694261984108
1787026823128,64058.6,0.633,64058.7,4.507,64058.649999999994,0.015610694261984108
1787026823129,64058.6,0.633,64058.7,4.507,64058.649999999994,0.015610694261984108
1787026823131,64058.6,0.633,64058.7,4.51,64058.649999999994,0.015610694261984108
1787026823174,64058.6,0.633,64058.7,4.507,64058.649999999994,0.015610694261984108
1787026823812,64058.6,0.633,64058.7,4.007,64058.649999999994,0.015610694261984108
1787026825249,64058.6,0.633,64058.7,3.965,64058.649999999994,0.015610694261984108
1787026825252,64058.6,0.633,64058.7,4.034,64058.649999999994,0.015610694261984108
1787026825681,64058.6,0.633,64058.7,4.082,64058.649999999994,0.015610694261984108
1787026826255,64058.6,0.633,64058.7,4.013,64058.649999999994,0.015610694261984108
1787026826258,64058.6,0.633,64058.7,4.084,64058.649999999994,0.015610694261984108
1787026827260,64058.6,0.633,64058.7,4.096,64058.649999999994,0.015610694261984108
1787026827427,64058.6,0.634,64058.7,4.096,64058.649999999994,0.015610694261984108
1787026828388,64057.2,0.001,64057.3,0.294,64057.25,0.015611035441861891
1787026828389,64057.2,0.002,64057.3,3.479,64057.25,0.015611035441861891
1787026828390,64057.1,0.052,64057.2,1.084,64057.149999999994,0.01561105981120684
1787026828391,64057.1,0.052,64057.2,2.859,64057.149999999994,0.01561105981120684
1787026828392,64057.1,0.052,64057.2,7.332,64057.149999999994,0.01561105981120684
1787026828394,64057.1,0.052,64057.2,6.992,64057.149999999994,0.01561105981120684
1787026828395,64057.1,0.052,64057.2,6.61,64057.149999999994,0.01561105981120684
1787026828396,64057.1,0.052,64057.2,6.448,64057.149999999994,0.01561105981120684
1787026828491,64057.1,0.06,64057.2,6.448,64057.149999999994,0.01561105981120684
1787026828492,64057.1,0.062,64057.2,6.45,64057.149999999994,0.01561105981120684
1787026828493,64057.1,0.582,64057.2,6.45,64057.149999999994,0.01561105981120684
1787026828494,64057.1,1.908,64057.2,6.45,64057.149999999994,0.01561105981120684
1787026828499,64057.1,2.051,64057.2,6.45,64057.149999999994,0.01561105981120684
1787026828505,64057.1,2.389,64057.2,6.45,64057.149999999994,0.01561105981120684
1787026828523,64057.1,2.389,64057.2,5.736,64057.149999999994,0.01561105981120684
1787026828524,64057.1,2.246,64057.2,5.736,64057.149999999994,0.01561105981120684
1787026828545,64057.1,1.908,64057.2,5.736,64057.149999999994,0.01561105981120684
1787026828585,64057.1,2.303,64057.2,5.736,64057.149999999994,0.01561105981120684
1787026828586,64057.1,2.303,64057.2,5.701,64057.149999999994,0.01561105981120684
1787026828592,64057.1,2.303,64057.2,5.703,64057.149999999994,0.01561105981120684
