ts,bid,bidq,ask,askq,mid,spread_bp
1787026800091,75.53,459.98,75.54,208.95,75.535,1.3238895876090708
1787026800095,75.53,465.57,75.54,208.95,75.535,1.3238895876090708
1787026800257,75.53,465.57,75.54,231.55,75.535,1.3238895876090708
1787026800458,75.53,465.65,75.54,231.55,75.535,1.3238895876090708
1787026800633,75.53,465.65,75.54,208.95,75.535,1.3238895876090708
1787026800794,75.53,465.65,75.54,289.22,75.535,1.3238895876090708
1787026800795,75.53,415.89,75.54,289.22,75.535,1.3238895876090708
1787026800797,75.53,404.15,75.54,289.22,75.535,1.3238895876090708
1787026800799,75.53,393.77,75.54,289.22,75.535,1.3238895876090708
1787026800801,75.53,346.65,75.54,289.22,75.535,1.3238895876090708
1787026800803,75.53,335.77,75.54,289.22,75.535,1.3238895876090708
1787026800804,75.53,324.61,75.54,289.22,75.535,1.3238895876090708
1787026801075,75.53,324.61,75.54,291.35,75.535,1.3238895876090708
1787026801295,75.53,324.61,75.54,292.27,75.535,1.3238895876090708
1787026801618,75.53,317.11,75.54,292.27,75.535,1.3238895876090708
1787026801619,75.53,316.89,75.54,292.27,75.535,1.3238895876090708
1787026801620,75.53,317.11,75.54,292.27,75.535,1.3238895876090708
1787026801792,75.53,317.11,75.54,291.35,75.535,1.3238895876090708
1787026801795,75.53,317.11,75.54,294.35,75.535,1.3238895876090708
1787026802860,75.53,317.11,75.54,296.99,75.535,1.3238895876090708
1787026803191,75.53,301.93,75.54,296.99,75.535,1.3238895876090708
1787026803277,75.53,301.93,75.54,304.49,75.535,1.3238895876090708
1787026803278,75.53,286.93,75.54,304.49,75.535,1.3238895876090708
1787026803279,75.53,238.32,75.54,304.49,75.535,1.3238895876090708
1787026803280,75.53,237.1,75.54,304.49,75.535,1.3238895876090708
1787026803281,75.53,256.48,75.54,304.49,75.535,1.3238895876090708
1787026803664,75.53,256.48,75.54,326.73,75.535,1.3238895876090708
1787026803665,75.53,256.48,75.54,326.51,75.535,1.3238895876090708
1787026803666,75.53,256.48,75.54,326.73,75.535,1.3238895876090708
1787026804955,75.53,256.48,75.54,326.87,75.535,1.3238895876090708
1787026806098,75.53,256.48,75.54,324.97,75.535,1.3238895876090708
1787026806379,75.53,256.48,75.54,325.14,75.535,1.3238895876090708
1787026806722,75.53,256.48,75.54,324.84,75.535,1.3238895876090708
1787026806723,75.53,256.48,75.54,416.16,75.535,1.3238895876090708
1787026806725,75.53,256.18,75.54,416.16,75.535,1.3238895876090708
1787026807099,75.53,256.18,75.54,418.04,75.535,1.3238895876090708
1787026807404,75.53,256.18,75.54,417.87,75.535,1.3238895876090708
1787026807407,75.53,256.18,75.54,418.05,75.535,1.3238895876090708
1787026807700,75.53,256.18,75.54,419.83,75.535,1.3238895876090708
1787026808097,75.53,256.18,75.54,417.95,75.535,1.3238895876090708
1787026808673,75.53,256.18,75.54,410.45,75.535,1.3238895876090708
1787026809662,75.53,282.43,75.54,410.45,75.535,1.3238895876090708
1787026810002,75.53,282.43,75.54,406.39,75.535,1.3238895876090708
1787026810196,75.53,282.43,75.54,406.21,75.535,1.3238895876090708
1787026810200,75.53,282.43,75.54,406.38,75.535,1.3238895876090708
1787026813191,75.53,282.43,75.54,434.49,75.535,1.3238895876090708
1787026813233,75.53,282.43,75.54,438.55,75.535,1.3238895876090708
1787026813546,75.53,282.43,75.54,435.13,75.535,1.3238895876090708
1787026813752,75.53,282.43,75.54,435.95,75.535,1.3238895876090708
1787026813763,75.53,281.42,75.54,435.95,75.535,1.3238895876090708
1787026813765,75.53,281.42,75.54,443.45,75.535,1.3238895876090708
1787026814268,75.53,281.42,75.54,443.28,75.535,1.3238895876090708
1787026814272,75.53,281.42,75.54,444.34,75.535,1.3238895876090708
1787026816629,75.53,281.42,75.54,447.76,75.535,1.3238895876090708
