ts,bid,bidq,ask,askq,mid,spread_bp
1787026800441,0.991,2418.0,0.9911,4946.9,0.99105,1.0090308258916199
1787026800795,0.991,2418.0,0.9911,7675.2,0.99105,1.0090308258916199
1787026800797,0.991,2349.0,0.9911,7761.4,0.99105,1.0090308258916199
1787026801525,0.991,2343.6,0.9911,7761.4,0.99105,1.0090308258916199
1787026802217,0.991,2343.6,0.9911,7776.2,0.99105,1.0090308258916199
1787026802229,0.991,2349.2,0.9911,7776.2,0.99105,1.0090308258916199
1787026802277,0.991,2349.2,0.9911,7700.7,0.99105,1.0090308258916199
1787026803380,0.991,2324.2,0.9911,7700.7,0.99105,1.0090308258916199
1787026803383,0.991,2342.3,0.9911,7700.7,0.99105,1.0090308258916199
1787026803499,0.991,2341.2,0.9911,7700.7,0.99105,1.0090308258916199
1787026803562,0.991,2342.3,0.9911,7700.7,0.99105,1.0090308258916199
1787026803659,0.991,2796.4,0.9911,7700.7,0.99105,1.0090308258916199
1787026804646,0.991,2695.4,0.9911,7700.7,0.99105,1.0090308258916199
1787026804707,0.991,2796.4,0.9911,7700.7,0.99105,1.0090308258916199
1787026805349,0.991,2796.4,0.9911,7717.1,0.99105,1.0090308258916199
1787026806048,0.991,2778.3,0.9911,7717.1,0.99105,1.0090308258916199
1787026806051,0.991,2794.6,0.9911,7717.1,0.99105,1.0090308258916199
1787026806530,0.991,2340.5,0.9911,7717.1,0.99105,1.0090308258916199
1787026808492,0.991,2324.2,0.9911,7717.1,0.99105,1.0090308258916199
1787026808496,0.991,2340.6,0.9911,7717.1,0.99105,1.0090308258916199
1787026810526,0.991,2324.2,0.9911,7717.1,0.99105,1.0090308258916199
1787026810529,0.991,2337.7,0.9911,7717.1,0.99105,1.0090308258916199
1787026811748,0.991,2332.1,0.9911,7717.1,0.99105,1.0090308258916199
1787026811932,0.991,2318.6,0.9911,7717.1,0.99105,1.0090308258916199
1787026811936,0.991,2339.9,0.9911,7717.1,0.99105,1.0090308258916199
1787026812318,0.991,2345.7,0.9911,7717.1,0.99105,1.0090308258916199
1787026815303,0.991,2345.7,0.9911,7703.8,0.99105,1.0090308258916199
1787026815304,0.991,2405.4,0.9911,7703.8,0.99105,1.0090308258916199
1787026815722,0.991,2384.1,0.9911,7703.8,0.99105,1.0090308258916199
1787026815726,0.991,2405.6,0.9911,7703.8,0.99105,1.0090308258916199
1787026815774,0.991,2405.6,0.9911,7209.3,0.99105,1.0090308258916199
1787026815960,0.991,2405.6,0.9911,7123.1,0.99105,1.0090308258916199
1787026816239,0.991,2405.6,0.9911,7112.9,0.99105,1.0090308258916199
1787026816243,0.991,2405.6,0.9911,7123.0,0.99105,1.0090308258916199
1787026816348,0.991,2405.6,0.9911,6951.8,0.99105,1.0090308258916199
