agg_id,ts,price,qty,buyer_maker
125399421,1787026996547,75.53,0.3,False
125399422,1787026996550,75.52,0.3,True
125399423,1787027011146,75.53,0.3,False
125399424,1787027011150,75.52,0.3,True
125399425,1787027020041,75.52,1.23,True
125399426,1787027020579,75.52,0.76,True
125399427,1787027021387,75.52,0.76,True
125399428,1787027023826,75.52,0.08,True
125399429,1787027025751,75.53,0.3,False
125399430,1787027025754,75.52,0.61,True
125399431,1787027026973,75.52,0.94,True
125399432,1787027028220,75.52,0.08,True
125399433,1787027029700,75.52,0.08,True
125399434,1787027031927,75.53,134.93,False
125399435,1787027032019,75.54,0.1,False
125399436,1787027040358,75.54,0.3,False
125399437,1787027040361,75.53,0.3,True
125399438,1787027041034,75.53,52.0,True
125399439,1787027052514,75.53,0.1,False
125399440,1787027054947,75.53,0.3,False
125399441,1787027054950,75.52,0.3,True
125399442,1787027065445,75.52,0.08,True
125399443,1787027065679,75.53,3.36,False
125399444,1787027065843,75.53,10.88,False
125399445,1787027066092,75.54,0.1,False
125399446,1787027066659,75.54,2.0,False
125399447,1787027069559,75.54,0.3,False
125399448,1787027069562,75.53,0.3,True
125399449,1787027069911,75.53,0.08,True
125399450,1787027070060,75.53,0.08,True
125399451,1787027081920,75.54,5.8,False
125399452,1787027084173,75.54,0.3,False
125399453,1787027084176,75.53,0.3,True
125399454,1787027098132,75.53,25.16,True
125399455,1787027098134,75.52,4.0,True
125399456,1787027098769,75.53,0.3,False
125399457,1787027098772,75.52,0.3,True
125399458,1787027104419,75.53,1.81,False
125399459,1787027113357,75.53,0.3,False
125399460,1787027113360,75.52,0.3,True
125399461,1787027113535,75.52,0.81,True
125399462,1787027123744,75.53,0.95,False
125399463,1787027127401,75.52,2.19,True
125399464,1787027127968,75.53,0.3,False
125399465,1787027127971,75.52,0.3,True
125399466,1787027132173,75.52,2.19,True
125399467,1787027136426,75.53,2.0,False
125399468,1787027139832,75.53,68.15,False
