ts,bid,bidq,ask,askq,mid,spread_bp,qimb
1787026994367,75.52,128.24,75.53,237.62,75.525,1.324064879179757,-0.2989668179084887
1787026994371,75.52,128.24,75.53,239.23,75.525,1.324064879179757,-0.30203826162679853
1787026994846,75.52,128.24,75.53,231.73,75.525,1.324064879179757,-0.2874961802372411
1787026995881,75.52,128.24,75.53,230.12,75.525,1.324064879179757,-0.2842951222234616
1787026995884,75.52,128.24,75.53,231.88,75.525,1.324064879179757,-0.28779295790292037
1787026996547,75.52,128.24,75.53,231.58,75.525,1.324064879179757,-0.2871991551331213
1787026996550,75.52,127.94,75.53,231.58,75.525,1.324064879179757,-0.2882732532265235
1787026996551,75.52,127.94,75.53,239.08,75.525,1.324064879179757,-0.3028172851615708
1787026997099,75.52,127.94,75.53,237.42,75.525,1.324064879179757,-0.29964966060871384
1787026997257,75.52,127.94,75.53,229.92,75.525,1.324064879179757,-0.2849717766724409
1787026998045,75.52,127.94,75.53,228.16,75.525,1.324064879179757,-0.2814377983712432
1787026998048,75.52,127.94,75.53,229.98,75.525,1.324064879179757,-0.2850916405900752
1787026998099,75.52,127.94,75.53,231.62,75.525,1.324064879179757,-0.28835243074869205
1787026999098,75.52,127.94,75.53,229.98,75.525,1.324064879179757,-0.2850916405900752
1787027000100,75.52,127.94,75.53,231.62,75.525,1.324064879179757,-0.28835243074869205
1787027001097,75.52,127.94,75.53,234.57,75.525,1.324064879179757,-0.2941436098314521
1787027001206,75.52,127.94,75.53,232.75,75.525,1.324064879179757,-0.2905819401702285
1787027001209,75.52,127.94,75.53,234.64,75.525,1.324064879179757,-0.2942798830602893
1787027002215,75.52,127.94,75.53,232.75,75.525,1.324064879179757,-0.2905819401702285
1787027002218,75.52,127.94,75.53,234.62,75.525,1.324064879179757,-0.29424095322153493
1787027003228,75.52,127.94,75.53,232.75,75.525,1.324064879179757,-0.2905819401702285
1787027003232,75.52,127.94,75.53,234.79,75.525,1.324064879179757,-0.2945717200121294
1787027004239,75.52,127.94,75.53,232.75,75.525,1.324064879179757,-0.2905819401702285
1787027004242,75.52,127.94,75.53,234.82,75.525,1.324064879179757,-0.2946300584408416
1787027005337,75.52,127.94,75.53,232.75,75.525,1.324064879179757,-0.2905819401702285
1787027005341,75.52,127.94,75.53,234.81,75.525,1.324064879179757,-0.29461061337008876
1787027007356,75.52,127.94,75.53,232.75,75.525,1.324064879179757,-0.2905819401702285
1787027007359,75.52,127.94,75.53,234.79,75.525,1.324064879179757,-0.2945717200121294
1787027009098,75.52,127.94,75.53,233.15,75.525,1.324064879179757,-0.29136780304079235
1787027010903,75.52,127.94,75.53,240.65,75.525,1.324064879179757,-0.3057869177134477
1787027010948,75.52,127.94,75.53,290.65,75.525,1.324064879179757,-0.38870971595116843
1787027011098,75.52,127.94,75.53,292.27,75.525,1.324064879179757,-0.39106637157611573
1787027011146,75.52,127.94,75.53,291.97,75.525,1.324064879179757,-0.39063132576028103
1787027011150,75.52,127.64,75.53,291.97,75.525,1.324064879179757,-0.3916255570648927
1787027011201,75.52,37.82,75.53,316.67,75.525,1.324064879179757,-0.7866230359107428
1787027011206,75.52,37.82,75.53,320.52,75.525,1.324064879179757,-0.7889155550594386
1787027011326,75.52,37.82,75.53,381.98,75.525,1.324064879179757,-0.8198189614101934
1787027011327,75.52,37.82,75.53,381.76,75.525,1.324064879179757,-0.819724486391151
1787027011328,75.52,37.82,75.53,381.98,75.525,1.324064879179757,-0.8198189614101934
1787027012176,75.52,23.83,75.53,381.98,75.525,1.324064879179757,-0.8825558759025138
1787027012706,75.52,23.83,75.53,394.18,75.525,1.324064879179757,-0.8859835889093541
1787027013321,75.52,121.2,75.53,394.18,75.525,1.324064879179757,-0.5296674298575798
1787027013323,75.52,135.66,75.53,332.72,75.525,1.324064879179757,-0.420726760322814
