symbol,lat_ms,qfrac,trade_credit,filter,book_events,agg_trades,maker_fills,quote_attempts,maker_volume_usd,maker_volume_per_min,liquidation_volume_usd,liquidation_share,net_pnl_usd,net_bp_per_volume,mean_mark1_bp,mean_mark5_bp,max_inventory_usd
SOLUSDC,10,1.0,0.5,none,603,48,0,10,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,10,1.0,0.5,flow_protected,603,48,0,48,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,10,1.0,1.0,none,603,48,0,10,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,10,1.0,1.0,flow_protected,603,48,0,48,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,10,0.5,0.5,none,603,48,0,10,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,10,0.5,0.5,flow_protected,603,48,0,48,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,10,0.5,1.0,none,603,48,0,10,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,10,0.5,1.0,flow_protected,603,48,0,48,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,240,1.0,0.5,none,603,48,0,10,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,240,1.0,0.5,flow_protected,603,48,0,49,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,240,1.0,1.0,none,603,48,0,10,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,240,1.0,1.0,flow_protected,603,48,0,49,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,240,0.5,0.5,none,603,48,0,10,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,240,0.5,0.5,flow_protected,603,48,0,49,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,240,0.5,1.0,none,603,48,0,10,0.0,0.0,0.0,,0.0,,,,0.0
SOLUSDC,240,0.5,1.0,flow_protected,603,48,0,49,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,10,1.0,0.5,none,477,23,0,14,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,10,1.0,0.5,flow_protected,477,23,0,43,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,10,1.0,1.0,none,477,23,0,14,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,10,1.0,1.0,flow_protected,477,23,0,43,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,10,0.5,0.5,none,477,23,0,14,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,10,0.5,0.5,flow_protected,477,23,0,43,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,10,0.5,1.0,none,477,23,0,14,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,10,0.5,1.0,flow_protected,477,23,0,43,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,240,1.0,0.5,none,477,23,0,14,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,240,1.0,0.5,flow_protected,477,23,0,49,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,240,1.0,1.0,none,477,23,0,14,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,240,1.0,1.0,flow_protected,477,23,0,49,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,240,0.5,0.5,none,477,23,0,14,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,240,0.5,0.5,flow_protected,477,23,0,49,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,240,0.5,1.0,none,477,23,0,14,0.0,0.0,0.0,,0.0,,,,0.0
XRPUSDC,240,0.5,1.0,flow_protected,477,23,0,49,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,10,1.0,0.5,none,384,5,0,12,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,10,1.0,0.5,flow_protected,384,5,0,16,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,10,1.0,1.0,none,384,5,0,12,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,10,1.0,1.0,flow_protected,384,5,0,16,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,10,0.5,0.5,none,384,5,0,12,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,10,0.5,0.5,flow_protected,384,5,0,16,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,10,0.5,1.0,none,384,5,0,12,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,10,0.5,1.0,flow_protected,384,5,0,16,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,240,1.0,0.5,none,384,5,0,12,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,240,1.0,0.5,flow_protected,384,5,0,18,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,240,1.0,1.0,none,384,5,0,12,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,240,1.0,1.0,flow_protected,384,5,0,18,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,240,0.5,0.5,none,384,5,0,12,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,240,0.5,0.5,flow_protected,384,5,0,18,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,240,0.5,1.0,none,384,5,0,12,0.0,0.0,0.0,,0.0,,,,0.0
DOGEUSDC,240,0.5,1.0,flow_protected,384,5,0,18,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,10,1.0,0.5,none,107,3,0,5,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,10,1.0,0.5,flow_protected,107,3,0,7,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,10,1.0,1.0,none,107,3,0,5,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,10,1.0,1.0,flow_protected,107,3,0,7,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,10,0.5,0.5,none,107,3,0,5,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,10,0.5,0.5,flow_protected,107,3,0,7,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,10,0.5,1.0,none,107,3,0,5,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,10,0.5,1.0,flow_protected,107,3,0,7,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,240,1.0,0.5,none,107,3,0,5,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,240,1.0,0.5,flow_protected,107,3,0,7,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,240,1.0,1.0,none,107,3,0,5,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,240,1.0,1.0,flow_protected,107,3,0,7,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,240,0.5,0.5,none,107,3,0,5,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,240,0.5,0.5,flow_protected,107,3,0,7,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,240,0.5,1.0,none,107,3,0,5,0.0,0.0,0.0,,0.0,,,,0.0
LTCUSDC,240,0.5,1.0,flow_protected,107,3,0,7,0.0,0.0,0.0,,0.0,,,,0.0
